fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,goals_assists,goals_total,penalty_won,penalty_commited,offsides
208986,Union Berlin,182,2862,Sebastian Andersson,https://media.api-sports.io/football/players/2862.png,67,10,F,6.1,False,False,1,1,0.0,,6,1,54%,0.0,0,2,1,1.0,1,1,0,0,0,1,,,,,,,
208986,Union Berlin,182,37938,Sheraldo Becker,https://media.api-sports.io/football/players/37938.png,30,27,F,6.5,False,False,0,0,0.0,,8,0,66%,0.0,0,1,0,,1,1,0,0,0,0,,1.0,,,,,
208986,Union Berlin,182,24861,Sebastian Polter,https://media.api-sports.io/football/players/24861.png,23,9,F,7.4,False,False,1,1,0.0,,4,0,80%,0.0,0,1,0,,1,0,0,0,1,0,,,,1.0,1.0,,
208986,Union Berlin,182,25929,Anthony Ujah,https://media.api-sports.io/football/players/25929.png,24,11,F,6.4,False,False,0,0,0.0,,7,0,87%,0.0,0,0,0,1.0,0,0,0,0,0,0,,,,,,,
208990,Hertha Berlin,159,25333,Rune Jarstein,https://media.api-sports.io/football/players/25333.png,90,22,G,6.9,False,False,0,0,3.0,5.0,10,0,50%,0.0,0,0,0,,0,0,0,0,0,0,0.0,1.0,,,,,
208990,Hertha Berlin,159,25340,Lukas Klünter,https://media.api-sports.io/football/players/25340.png,90,13,D,6.6,False,False,0,0,0.0,,28,1,80%,0.0,2,0,0,,1,3,0,0,0,0,,3.0,,,,,
208990,Hertha Berlin,159,1108,Dedryk Boyata,https://media.api-sports.io/football/players/1108.png,64,20,D,6.4,False,False,0,0,0.0,,26,0,86%,1.0,1,0,0,,0,0,0,0,0,0,,2.0,,,,,
208990,Hertha Berlin,159,25345,Karim Rekik,https://media.api-sports.io/football/players/25345.png,90,4,D,6.9,False,False,0,0,0.0,,44,1,83%,0.0,1,1,1,,2,0,0,0,0,0,,4.0,,,,,
208990,Hertha Berlin,159,25344,Marvin Plattenhardt,https://media.api-sports.io/football/players/25344.png,90,21,D,6.8,False,False,1,0,0.0,,28,0,87%,1.0,1,0,0,,3,0,0,0,0,0,,2.0,,,,,
208990,Hertha Berlin,159,25350,Marko Grujić,https://media.api-sports.io/football/players/25350.png,45,15,M,6.7,False,False,1,0,0.0,,10,0,83%,0.0,1,1,1,,0,1,0,0,0,0,,,,,,,
208990,Hertha Berlin,159,25356,Per Ciljan Skjelbred,https://media.api-sports.io/football/players/25356.png,90,3,M,7.3,False,False,0,0,0.0,,51,0,82%,0.0,4,0,0,1.0,0,0,0,0,0,0,,4.0,,,,,
208990,Hertha Berlin,159,26,Marius Wolf,https://media.api-sports.io/football/players/26.png,90,30,M,7.1,False,False,2,0,0.0,,17,3,58%,1.0,0,4,3,2.0,1,1,0,0,0,0,,1.0,1.0,,,,
208990,Hertha Berlin,159,25348,Vladimír Darida,https://media.api-sports.io/football/players/25348.png,84,6,M,6.1,False,False,2,1,0.0,,37,2,86%,1.0,2,1,0,2.0,2,4,2,1,0,0,,3.0,,,,,
208990,Hertha Berlin,159,25458,Dodi Lukebakio,https://media.api-sports.io/football/players/25458.png,90,28,M,6.6,False,False,4,2,0.0,,13,1,86%,1.0,0,5,3,,0,1,0,0,0,0,,1.0,,1.0,,,
208990,Hertha Berlin,159,25359,Vedad Ibišević,https://media.api-sports.io/football/players/25359.png,82,19,F,6.1,True,False,1,0,0.0,,8,0,53%,0.0,0,0,0,,0,3,1,0,0,0,,1.0,,,,,
208990,Hertha Berlin,159,25352,Salomon Kalou,https://media.api-sports.io/football/players/25352.png,26,8,M,6.9,False,True,2,1,0.0,,6,1,85%,0.0,0,1,0,,0,3,0,0,0,0,,,,1.0,,,
208990,Hertha Berlin,159,25349,Ondrej Duda,https://media.api-sports.io/football/players/25349.png,45,10,M,7.0,False,True,0,0,0.0,,16,0,84%,0.0,0,5,4,1.0,1,1,0,0,0,0,,1.0,,,,,
208990,Hertha Berlin,159,25362,Davie Selke,https://media.api-sports.io/football/players/25362.png,8,27,F,7.0,False,True,0,0,0.0,,2,1,100%,0.0,0,0,0,,1,0,0,0,0,0,,,,,,,
208990,1899 Hoffenheim,167,702,Oliver Baumann,https://media.api-sports.io/football/players/702.png,90,1,G,6.3,False,False,0,0,2.0,2.0,26,0,68%,0.0,0,0,0,,0,0,1,0,0,0,0.0,,,,,,
