fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,duels_total,duels_won,fouls_committed,fouls_drawn,tackles_interceptions,shots_total,shots_on,offsides,goals_total,dribbles_attempts,dribbles_success,tackles_blocks,dribbles_past,penalty_won,penalty_commited
923699,OFI,1124,19430,Nouha Dicko,https://media.api-sports.io/football/players/19430.png,81.0,11,F,6.3,False,False,0,,15.0,11,1,0,0,0,,,2.0,,5.0,,3.0,,,1.0,,,,1.0,,,,,
923699,OFI,1124,26644,Christos Mandas,https://media.api-sports.io/football/players/26644.png,,35,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923699,OFI,1124,26831,Triantafyllos Pasalidis,https://media.api-sports.io/football/players/26831.png,,4,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923699,OFI,1124,26771,Nikolaos Marinakis,https://media.api-sports.io/football/players/26771.png,34.0,6,D,6.6,False,True,0,,22.0,18,0,0,0,0,,,,1.0,2.0,2.0,,1.0,,,,,,,,,,,
923699,OFI,1124,122130,Apostolos Diamantis,https://media.api-sports.io/football/players/122130.png,,15,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
923699,OFI,1124,15285,Praxitelis Vouros,https://media.api-sports.io/football/players/15285.png,33.0,14,D,6.2,False,True,0,,22.0,20,1,0,0,0,,,,,2.0,,1.0,,,,,,,,,,,,
923699,OFI,1124,48201,Gudmundur Thórarinsson,https://media.api-sports.io/football/players/48201.png,20.0,22,D,6.5,False,True,0,,16.0,11,0,0,0,0,,,,,,,,,,,,,,,,,,,
923699,OFI,1124,26755,Paschalis Staikos,https://media.api-sports.io/football/players/26755.png,20.0,26,M,6.5,False,True,0,,13.0,9,0,0,0,0,,,,,1.0,,1.0,,,,,,,,,,,,
923699,OFI,1124,382218,Giannis Theodosoulakis,https://media.api-sports.io/football/players/382218.png,9.0,46,M,6.6,False,True,0,,2.0,1,0,0,0,0,,,,,3.0,2.0,,2.0,,1.0,1.0,,,,,,,,
923699,OFI,1124,349497,Giannis Apostolakis,https://media.api-sports.io/football/players/349497.png,,45,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
