fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,shots_total,shots_on,dribbles_past,offsides,goals_total,goals_saves,penalty_won,penalty_commited
1391256,Racing Santander,4665,47293,Iñigo Vicente,https://media.api-sports.io/football/players/47293.png,90.0,10,M,9.3,False,False,0,2.0,44.0,38,1,0,0,0,,6.0,1.0,,,20.0,6.0,7.0,3.0,2.0,4.0,1.0,1.0,2.0,,,,,
1391256,Racing Santander,4665,46960,Marco Sangalli,https://media.api-sports.io/football/players/46960.png,59.0,15,M,6.6,False,False,0,0.0,16.0,10,0,0,0,0,,1.0,1.0,,,9.0,3.0,1.0,1.0,,2.0,,,2.0,,,,,
1391256,Racing Santander,4665,104853,Asier Villalibre,https://media.api-sports.io/football/players/104853.png,90.0,12,F,8,False,False,0,0.0,6.0,3,0,0,0,0,,,1.0,,,11.0,5.0,3.0,1.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,
1391256,Racing Santander,4665,518384,Sergio Martinez,https://media.api-sports.io/football/players/518384.png,32.0,36,M,6.7,False,True,0,0.0,11.0,9,1,0,0,0,,,,1.0,1.0,3.0,1.0,,,,1.0,,,,,,,,
1391256,Racing Santander,4665,336995,Yeray Cabanzon,https://media.api-sports.io/football/players/336995.png,32.0,7,M,6.3,False,True,0,0.0,10.0,8,0,0,0,0,,1.0,1.0,,,13.0,5.0,2.0,2.0,1.0,4.0,,,1.0,,,,,
1391256,Racing Santander,4665,20946,Clément Michelin,https://media.api-sports.io/football/players/20946.png,13.0,17,D,6.6,False,True,0,0.0,3.0,3,0,0,0,0,,,1.0,,,1.0,1.0,,,,,,,,,,,,
1391256,Racing Santander,4665,437643,Peio Canales,https://media.api-sports.io/football/players/437643.png,13.0,18,M,6.6,False,True,0,0.0,13.0,13,0,0,0,0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
1391256,Racing Santander,4665,350799,Jeremy Arevalo,https://media.api-sports.io/football/players/350799.png,10.0,29,F,6.5,False,True,0,0.0,2.0,2,0,0,0,0,,,,,,1.0,,,,,,,,1.0,,,,,
1391256,Racing Santander,4665,315880,Plamen Andreev,https://media.api-sports.io/football/players/315880.png,,13,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Racing Santander,4665,452308,Aitor Crespo,https://media.api-sports.io/football/players/452308.png,,37,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Racing Santander,4665,385767,Mario Garcia,https://media.api-sports.io/football/players/385767.png,,23,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Racing Santander,4665,46789,Saúl García,https://media.api-sports.io/football/players/46789.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Racing Santander,4665,336994,Izan Yurrieta,https://media.api-sports.io/football/players/336994.png,,42,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Racing Santander,4665,431363,Santi Franco,https://media.api-sports.io/football/players/431363.png,,43,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Racing Santander,4665,286075,Suleiman Camara,https://media.api-sports.io/football/players/286075.png,,20,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1391256,Castellón,5254,2680,Amir Abedzadeh,https://media.api-sports.io/football/players/2680.png,90.0,1,G,6.2,False,False,3,0.0,35.0,28,0,0,0,0,0.0,,,,,,,,,,,,,,,,2.0,,
1391256,Castellón,5254,24026,Jeremy Mellot,https://media.api-sports.io/football/players/24026.png,90.0,22,D,6.9,False,False,0,0.0,78.0,66,0,0,0,0,,2.0,4.0,,,10.0,7.0,1.0,1.0,2.0,2.0,,,1.0,,,,,
1391256,Castellón,5254,47075,Alberto Jiménez,https://media.api-sports.io/football/players/47075.png,82.0,5,D,5.6,False,False,0,0.0,56.0,52,0,1,0,0,,,3.0,,,11.0,6.0,2.0,2.0,1.0,3.0,,,,,,,,1.0
1391256,Castellón,5254,201830,Agustín Sienra,https://media.api-sports.io/football/players/201830.png,45.0,4,D,6.3,False,False,0,0.0,24.0,19,0,0,0,0,,,1.0,,,3.0,2.0,,,1.0,,,,,,,,,
