fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,tackles_interceptions,fouls_committed,shots_total,shots_on,passes_key,goals_total,goals_assists,tackles_blocks,penalty_commited,penalty_won,offsides
605173,Levante,539,47467,José Luis Morales,https://media.api-sports.io/football/players/47467.png,71.0,11,F,6.9,True,False,0,,5.0,4,0,0,0,0,,1.0,6.0,3.0,3.0,2.0,,,,,3.0,2.0,,,,,,,
605173,Levante,539,47450,Koke,https://media.api-sports.io/football/players/47450.png,,1,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,47453,Toño,https://media.api-sports.io/football/players/47453.png,,3,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,47460,Róber Pier,https://media.api-sports.io/football/players/47460.png,19.0,4,D,6.9,False,True,0,,13.0,13,0,0,0,0,,1.0,3.0,2.0,,,,,,,,,,,,,,,
605173,Levante,539,47328,Óscar Duarte,https://media.api-sports.io/football/players/47328.png,,6,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,47451,Coke,https://media.api-sports.io/football/players/47451.png,10.0,23,D,6.3,False,True,0,,6.0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,47568,Jorge Miramón,https://media.api-sports.io/football/players/47568.png,,20,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,47469,Nikola Vukčević,https://media.api-sports.io/football/players/47469.png,,17,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,47441,Nemanja Radoja,https://media.api-sports.io/football/players/47441.png,,5,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
605173,Levante,539,128582,Jorge De Frutos Sebastian,https://media.api-sports.io/football/players/128582.png,23.0,18,M,6.3,False,True,0,,13.0,10,0,0,0,0,,,1.0,,,,,,,1.0,,,,,,,,,
