fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,tackles_blocks,duels_total,duels_won,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,shots_total,dribbles_attempts,dribbles_success,offsides,passes_key,shots_on,goals_assists,goals_total,penalty_won,penalty_commited
1049035,Bayer Leverkusen,168,138804,Matej Kovar,https://media.api-sports.io/football/players/138804.png,,17,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,19018,Timothy Fosu-Mensah,https://media.api-sports.io/football/players/19018.png,,24,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,298006,Noah Mbamba,https://media.api-sports.io/football/players/298006.png,,18,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,324034,Gustavo Puerta,https://media.api-sports.io/football/players/324034.png,,32,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,714,Nadiem Amiri,https://media.api-sports.io/football/players/714.png,,11,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049035,Bayer Leverkusen,168,386854,Ken Izekor,https://media.api-sports.io/football/players/386854.png,,38,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
1049034,Bayern Munich,157,497,Manuel Neuer,https://media.api-sports.io/football/players/497.png,90.0,1,G,6.9,True,False,1,2.0,28.0,25,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
1049034,Bayern Munich,157,1157,Konrad Laimer,https://media.api-sports.io/football/players/1157.png,90.0,27,D,8.3,False,False,0,,94.0,91,0,0,0,0,,5.0,,9.0,6.0,1.0,,2.0,,1.0,1.0,1.0,,3.0,1.0,,,,
1049034,Bayern Munich,157,1149,Dayot Upamecano,https://media.api-sports.io/football/players/1149.png,90.0,2,D,7.7,False,False,0,,91.0,90,0,0,0,0,,1.0,,7.0,5.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,1.0,,,,
1049034,Bayern Munich,157,532,Matthijs de Ligt,https://media.api-sports.io/football/players/532.png,90.0,4,D,7.2,False,False,0,,87.0,83,1,0,0,0,,2.0,1.0,8.0,3.0,,3.0,3.0,,,,,,,,,,,
1049034,Bayern Munich,157,509,Alphonso Davies,https://media.api-sports.io/football/players/509.png,65.0,19,D,7.3,False,False,0,,54.0,48,0,0,0,0,,7.0,,15.0,11.0,3.0,1.0,1.0,,,3.0,3.0,,,,,,,
1049034,Bayern Munich,157,502,Joshua Kimmich,https://media.api-sports.io/football/players/502.png,64.0,6,M,6.9,False,False,0,,69.0,64,1,0,0,0,,,,7.0,3.0,1.0,1.0,,2.0,,,,,1.0,,,,,
1049034,Bayern Munich,157,8,Raphaël Guerreiro,https://media.api-sports.io/football/players/8.png,65.0,22,M,6.9,False,False,0,,51.0,38,0,0,0,0,,1.0,,3.0,2.0,1.0,,,,,1.0,1.0,,,,,,,
1049034,Bayern Munich,157,508,Kingsley Coman,https://media.api-sports.io/football/players/508.png,84.0,11,M,7.5,False,False,0,,65.0,60,0,0,0,0,,,,7.0,3.0,,1.0,,,1.0,3.0,2.0,,2.0,,,,,
1049034,Bayern Munich,157,181812,Jamal Musiala,https://media.api-sports.io/football/players/181812.png,90.0,42,M,7.3,False,False,0,,43.0,30,0,0,0,0,,3.0,,18.0,8.0,2.0,2.0,,3.0,1.0,4.0,1.0,,2.0,1.0,,,,
1049034,Bayern Munich,157,644,Leroy Sané,https://media.api-sports.io/football/players/644.png,90.0,10,M,7.6,False,False,0,,37.0,36,0,0,0,0,,1.0,,15.0,6.0,,1.0,,1.0,4.0,9.0,4.0,1.0,2.0,2.0,,,,
1049034,Bayern Munich,157,184,Harry Kane,https://media.api-sports.io/football/players/184.png,90.0,9,F,7,False,False,0,,18.0,15,0,0,0,0,,,,3.0,1.0,,,,,3.0,,,,1.0,1.0,,,,
1049034,Bayern Munich,157,522,Thomas Müller,https://media.api-sports.io/football/players/522.png,26.0,25,F,6.6,False,True,0,,10.0,8,0,0,0,0,,,,3.0,,1.0,1.0,,,,,,1.0,2.0,,,,,
1049034,Bayern Munich,157,511,Leon Goretzka,https://media.api-sports.io/football/players/511.png,25.0,8,M,7.2,False,True,0,,24.0,22,0,0,0,0,,,,5.0,3.0,1.0,1.0,,,2.0,,,,1.0,,,,,
1049034,Bayern Munich,157,270510,Mathys Tel,https://media.api-sports.io/football/players/270510.png,25.0,39,F,7.2,False,True,0,,14.0,10,0,0,0,0,,,,8.0,4.0,,1.0,,,3.0,4.0,2.0,,,1.0,,,,
1049034,Bayern Munich,157,275,Eric Maxim Choupo-Moting,https://media.api-sports.io/football/players/275.png,12.0,13,F,6.9,False,True,0,,2.0,2,0,0,0,0,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,,
1049034,Bayern Munich,157,498,Sven Ulreich,https://media.api-sports.io/football/players/498.png,,26,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
