fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
27492,540,Espanyol,https://media.api-sports.io/football/teams/540.png,5,4,11.0,2,6.0,5.0,11,5,0,49%,1,,3,472.0,402.0,85%,,,,,,,,,
27492,530,Atletico Madrid,https://media.api-sports.io/football/teams/530.png,3,3,11.0,5,7.0,4.0,14,6,2,51%,2,,3,466.0,395.0,85%,,,,,,,,,
27489,542,Alaves,https://media.api-sports.io/football/teams/542.png,6,9,18.0,3,9.0,9.0,7,13,3,50%,1,,2,369.0,270.0,73%,,,,,,,,,
27489,548,Real Sociedad,https://media.api-sports.io/football/teams/548.png,2,4,9.0,3,5.0,4.0,22,6,2,50%,3,,6,384.0,280.0,73%,,,,,,,,,
27490,538,Celta Vigo,https://media.api-sports.io/football/teams/538.png,6,5,14.0,3,11.0,3.0,11,11,2,34%,1,,1,315.0,262.0,83%,,,,,,,,,
27490,529,Barcelona,https://media.api-sports.io/football/teams/529.png,1,5,8.0,2,3.0,5.0,13,1,1,66%,5,,4,618.0,559.0,90%,,,,,,,,,
27493,546,Getafe,https://media.api-sports.io/football/teams/546.png,8,5,13.0,,10.0,3.0,15,1,1,40%,3,,2,309.0,203.0,66%,,,,,,,,,
27493,547,Girona,https://media.api-sports.io/football/teams/547.png,2,2,4.0,,4.0,0.0,13,3,2,60%,3,1.0,6,456.0,344.0,75%,,,,,,,,,
27491,545,Eibar,https://media.api-sports.io/football/teams/545.png,6,6,14.0,2,8.0,6.0,15,11,1,45%,3,,6,348.0,254.0,73%,,,,,,,,,
27491,543,Real Betis,https://media.api-sports.io/football/teams/543.png,6,6,12.0,0,9.0,3.0,7,8,3,55%,2,,5,417.0,309.0,74%,,,,,,,,,
27496,541,Real Madrid,https://media.api-sports.io/football/teams/541.png,11,8,24.0,5,16.0,8.0,9,8,3,59%,0,,5,610.0,539.0,88%,,,,,,,,,
27496,533,Villarreal,https://media.api-sports.io/football/teams/533.png,7,7,15.0,1,8.0,7.0,14,3,3,41%,3,,8,403.0,341.0,85%,,,,,,,,,
27498,720,Valladolid,https://media.api-sports.io/football/teams/720.png,3,6,10.0,1,4.0,6.0,14,1,1,40%,5,,1,290.0,194.0,67%,,,,,,,,,
27498,531,Athletic Club,https://media.api-sports.io/football/teams/531.png,1,6,9.0,2,9.0,0.0,22,3,1,60%,5,,2,428.0,329.0,77%,,,,,,,,,
27494,726,Huesca,https://media.api-sports.io/football/teams/726.png,4,15,24.0,5,14.0,10.0,10,7,,51%,2,,2,455.0,375.0,82%,,,,,,,,,
27494,532,Valencia,https://media.api-sports.io/football/teams/532.png,7,2,10.0,1,9.0,1.0,9,5,,49%,1,,2,449.0,373.0,83%,,,,,,,,,
27501,529,Barcelona,https://media.api-sports.io/football/teams/529.png,8,4,13.0,1,9.0,4.0,9,4,1,79%,1,,0,899.0,798.0,89%,,,,,,,,,
27501,546,Getafe,https://media.api-sports.io/football/teams/546.png,0,8,11.0,3,6.0,5.0,13,3,5,21%,3,,7,230.0,131.0,57%,,,,,,,,,
