fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_past,tackles_blocks,dribbles_success,fouls_drawn,fouls_committed,shots_on,offsides,goals_assists,goals_total,penalty_commited,penalty_won
719355,FC Augsburg,170,10375,Iago,https://media.api-sports.io/football/players/10375.png,81.0,22,D,6.3,False,False,0,,41.0,34,0,0,0,0,,,,1.0,2.0,8.0,4.0,,,,,1.0,,,,,,,
719355,FC Augsburg,170,25302,Jan Morávek,https://media.api-sports.io/football/players/25302.png,59.0,14,M,6.5,False,False,0,,19.0,16,0,0,0,0,,,,,,4.0,1.0,3.0,,,1.0,,1.0,,,,,,
719355,FC Augsburg,170,24904,Niklas Dorsch,https://media.api-sports.io/football/players/24904.png,90.0,30,M,6,False,False,0,,38.0,34,0,0,0,0,,,,1.0,,9.0,2.0,1.0,3.0,,1.0,,2.0,,,,,,
719355,FC Augsburg,170,25298,André Hahn,https://media.api-sports.io/football/players/25298.png,64.0,28,M,6.6,False,False,0,,8.0,3,0,0,0,0,,1.0,,1.0,,5.0,4.0,3.0,,,2.0,1.0,,,1.0,,,,
719355,FC Augsburg,170,25299,Fredrik Jensen,https://media.api-sports.io/football/players/25299.png,64.0,24,M,7.5,False,False,0,,18.0,12,0,0,0,0,,1.0,2.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,
719355,FC Augsburg,170,48471,Ruben Vargas,https://media.api-sports.io/football/players/48471.png,81.0,16,M,6.3,False,False,0,,23.0,17,0,0,0,0,,1.0,1.0,2.0,2.0,9.0,4.0,3.0,,,,2.0,,,1.0,,,,
719355,FC Augsburg,170,26257,Florian Niederlechner,https://media.api-sports.io/football/players/26257.png,90.0,7,F,6.3,False,False,0,,14.0,12,0,0,0,0,,,3.0,,,11.0,3.0,2.0,1.0,,,2.0,1.0,,,,,,
719355,FC Augsburg,170,2192,Tomáš Koubek,https://media.api-sports.io/football/players/2192.png,,40,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719355,FC Augsburg,170,25288,Raphael Framberger,https://media.api-sports.io/football/players/25288.png,,32,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719355,FC Augsburg,170,15901,Mads Pedersen,https://media.api-sports.io/football/players/15901.png,9.0,3,D,6,False,True,0,,5.0,5,0,0,0,0,,,,,,1.0,,,,,,,1.0,,,,,,
719355,FC Augsburg,170,16063,Frederik Franck Winther,https://media.api-sports.io/football/players/16063.png,,26,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719355,FC Augsburg,170,410,Daniel Caligiuri,https://media.api-sports.io/football/players/410.png,26.0,20,M,6.3,False,True,0,,6.0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,
719355,FC Augsburg,170,2577,Carlos Gruezo,https://media.api-sports.io/football/players/2577.png,,8,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719355,FC Augsburg,170,25355,Arne Maier,https://media.api-sports.io/football/players/25355.png,31.0,10,M,6.2,False,True,0,,12.0,7,0,0,0,0,,,,,,2.0,,,1.0,,,,,,,,,,
719355,FC Augsburg,170,25297,Michael Gregoritsch,https://media.api-sports.io/football/players/25297.png,26.0,11,F,6.7,False,True,0,,5.0,3,0,0,0,0,,,,,,1.0,1.0,,,1.0,,,,,,,,,
719355,FC Augsburg,170,25385,Noah Joel Sarenren Bazee,https://media.api-sports.io/football/players/25385.png,9.0,17,M,6.2,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
719355,1899 Hoffenheim,167,702,Oliver Baumann,https://media.api-sports.io/football/players/702.png,90.0,1,G,7,True,False,0,,39.0,32,0,0,0,0,0.0,,,,,1.0,1.0,,,,,,,,,,,,
719355,1899 Hoffenheim,167,25366,Kevin Akpoguma,https://media.api-sports.io/football/players/25366.png,73.0,25,D,7.2,False,False,0,,18.0,15,0,0,0,0,,,1.0,3.0,,8.0,4.0,2.0,,,1.0,,1.0,,,,,,
719355,1899 Hoffenheim,167,711,Stefan Posch,https://media.api-sports.io/football/players/711.png,90.0,38,D,7,False,False,0,,68.0,60,0,0,0,0,,,,,1.0,6.0,1.0,,,1.0,,,3.0,,,,,,
719355,1899 Hoffenheim,167,713,Kevin Vogt,https://media.api-sports.io/football/players/713.png,90.0,22,D,7.2,False,False,0,,72.0,62,0,0,0,0,,,,2.0,,4.0,4.0,,,,,2.0,,,,,,,
719355,1899 Hoffenheim,167,25158,David Raum,https://media.api-sports.io/football/players/25158.png,52.0,17,D,7,False,False,0,,34.0,27,1,0,0,0,,1.0,,2.0,1.0,4.0,3.0,,,,,,1.0,1.0,,,,,
719355,1899 Hoffenheim,167,416,Sebastian Rudy,https://media.api-sports.io/football/players/416.png,90.0,16,M,7.2,False,False,0,,35.0,25,1,0,0,0,,2.0,,3.0,,7.0,3.0,,,,,,,1.0,,,1.0,,
719355,1899 Hoffenheim,167,137210,Angelo Stiller,https://media.api-sports.io/football/players/137210.png,90.0,13,M,6.9,False,False,0,,30.0,22,0,0,0,0,,,,2.0,1.0,8.0,5.0,,,,,3.0,1.0,,,,,,
719355,1899 Hoffenheim,167,715,Christoph Baumgartner,https://media.api-sports.io/football/players/715.png,74.0,14,M,6.6,False,False,0,,17.0,9,0,0,0,0,,,1.0,1.0,,7.0,3.0,,,,,,1.0,,,,,,
719355,1899 Hoffenheim,167,1097,Munas Dabbur,https://media.api-sports.io/football/players/1097.png,59.0,10,M,6.9,False,False,0,,25.0,16,0,0,0,0,,,,2.0,,8.0,5.0,1.0,2.0,,1.0,1.0,,,,,,,
719355,1899 Hoffenheim,167,22,Jacob Bruun Larsen,https://media.api-sports.io/football/players/22.png,59.0,7,M,7.2,False,False,0,,16.0,11,0,0,0,0,,2.0,3.0,,,7.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,
719355,1899 Hoffenheim,167,726,Andrej Kramarić,https://media.api-sports.io/football/players/726.png,90.0,27,F,9.2,False,False,0,,21.0,18,0,0,0,0,,3.0,4.0,,,3.0,2.0,1.0,,,1.0,1.0,,3.0,,3.0,,,
719355,1899 Hoffenheim,167,24975,Philipp Pentke,https://media.api-sports.io/football/players/24975.png,,12,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
