fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited
21350,Lazio,487,1859,Luis Alberto,https://media.api-sports.io/football/players/1859.png,9,18,F,7.8,False,False,2,1,,,7,2,58%,0,4,1,1,1,0,0,0,0,0,0,,1.0,,1.0,,
21353,AS Roma,497,851,Wojciech Szczęsny,https://media.api-sports.io/football/players/851.png,90,1,G,6.4,False,False,0,0,1.0,0.0,33,0,91%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21353,AS Roma,497,2285,Antonio Rüdiger,https://media.api-sports.io/football/players/2285.png,90,2,D,6.5,False,False,1,0,,,83,1,90%,0,12,6,3,2,1,2,1,0,0,0,,1.0,,,,
21353,AS Roma,497,772,Kōnstantinos Manōlas,https://media.api-sports.io/football/players/772.png,45,44,D,6.9,False,False,0,0,,,32,0,91%,1,2,1,0,0,0,1,0,0,0,0,,,,,,
21353,AS Roma,497,768,Federico Fazio,https://media.api-sports.io/football/players/768.png,90,20,D,7.7,False,False,5,1,,,49,0,94%,3,14,12,3,2,1,0,0,0,0,0,,,,,,
21353,AS Roma,497,322,Mário Rui,https://media.api-sports.io/football/players/322.png,90,21,D,6.8,False,False,1,1,,,68,1,81%,1,13,7,1,1,4,1,1,0,0,0,,1.0,,,,
21353,AS Roma,497,1916,Kevin Strootman,https://media.api-sports.io/football/players/1916.png,90,6,M,7.0,False,False,0,0,,,54,2,74%,2,8,5,0,0,1,0,0,0,0,0,,,,,,
21353,AS Roma,497,779,Daniele De Rossi,https://media.api-sports.io/football/players/779.png,78,16,M,7.6,True,False,3,1,,,63,3,88%,1,8,6,1,1,2,1,0,0,0,0,,1.0,,,,
21353,AS Roma,497,205,Radja Nainggolan,https://media.api-sports.io/football/players/205.png,90,4,M,7.6,False,False,4,0,,,41,4,82%,0,12,7,1,1,3,1,0,0,0,0,,,,,,
21353,AS Roma,497,306,Mohamed Salah,https://media.api-sports.io/football/players/306.png,90,11,F,7.1,False,False,2,0,,,27,2,87%,0,3,1,1,1,0,1,0,0,0,0,,,1.0,,,
21353,AS Roma,497,790,Edin Džeko,https://media.api-sports.io/football/players/790.png,90,9,F,7.3,False,False,2,1,,,20,2,69%,0,4,2,1,1,0,0,0,0,0,0,,,,1.0,,
21353,AS Roma,497,793,Diego Perotti,https://media.api-sports.io/football/players/793.png,87,8,F,7.3,False,False,2,1,,,35,2,87%,0,18,12,4,2,6,1,0,0,0,0,,1.0,,,,
21353,AS Roma,497,9948,Bruno Peres,https://media.api-sports.io/football/players/9948.png,45,13,D,6.6,False,True,0,0,,,27,0,100%,0,3,2,1,0,1,0,0,0,0,0,,,,,,
21353,AS Roma,497,791,Stephan El Shaarawy,https://media.api-sports.io/football/players/791.png,12,92,F,6.9,False,True,0,0,,,9,1,81%,1,0,0,0,0,0,0,0,0,0,0,,,,,,
21353,AS Roma,497,91371,Francesco Totti,https://media.api-sports.io/football/players/91371.png,3,10,F,–,False,True,1,0,,,9,1,75%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21353,Atalanta,499,30418,Pierluigi Gollini,https://media.api-sports.io/football/players/30418.png,90,91,G,6.6,False,False,0,0,1.0,4.0,7,0,29%,0,0,0,0,0,0,0,1,0,0,0,0.0,,,,,
21353,Atalanta,499,30429,Rafael Tolói,https://media.api-sports.io/football/players/30429.png,90,3,D,6.4,True,False,0,0,,,25,0,71%,0,9,1,0,0,0,5,0,0,0,0,,2.0,,,,
21353,Atalanta,499,1628,Mattia Caldara,https://media.api-sports.io/football/players/1628.png,90,13,D,7.2,False,False,0,0,,,14,0,82%,4,2,0,0,0,0,2,0,0,0,0,,,,,,
21353,Atalanta,499,30426,Andrea Masiello,https://media.api-sports.io/football/players/30426.png,90,5,D,7.0,False,False,0,0,,,26,0,89%,0,4,0,0,0,0,1,0,0,0,0,,2.0,,,,
21353,Atalanta,499,30423,Hans Hateboer,https://media.api-sports.io/football/players/30423.png,90,33,M,6.3,False,False,1,0,,,18,0,78%,2,7,1,2,0,1,2,1,0,0,0,,,,,,
21353,Atalanta,499,1642,Franck Kessié,https://media.api-sports.io/football/players/1642.png,90,19,M,7.1,False,False,1,0,,,25,0,78%,3,19,9,3,2,2,4,0,0,0,0,,,,,,
21353,Atalanta,499,2807,Remo Freuler,https://media.api-sports.io/football/players/2807.png,90,11,M,6.9,False,False,0,0,,,22,3,88%,4,7,5,1,0,0,0,0,0,0,0,,1.0,,,,
21353,Atalanta,499,1629,Andrea Conti,https://media.api-sports.io/football/players/1629.png,90,24,M,7.3,False,False,0,0,,,12,1,63%,6,6,3,3,1,1,0,0,0,0,0,,,1.0,,,
21353,Atalanta,499,30865,Jasmin Kurtić,https://media.api-sports.io/football/players/30865.png,68,27,M,7.2,False,False,2,1,,,13,1,76%,0,11,3,1,1,0,2,1,0,0,0,,3.0,,1.0,,
21353,Atalanta,499,778,Bryan Cristante,https://media.api-sports.io/football/players/778.png,54,4,M,6.5,False,False,0,0,,,13,0,65%,0,9,4,0,0,1,1,0,0,0,0,,2.0,,,,
21353,Atalanta,499,30879,Andrea Petagna,https://media.api-sports.io/football/players/30879.png,84,29,F,6.4,False,False,1,0,,,10,1,58%,0,12,4,2,0,2,3,0,0,0,0,,,,,,
21353,Atalanta,499,30806,Marco D'Alessandro,https://media.api-sports.io/football/players/30806.png,36,7,M,6.7,False,False,0,0,,,6,0,66%,2,8,4,1,0,1,1,0,0,0,0,,1.0,,,,
21353,Atalanta,499,16556,Bryan Cabezas,https://media.api-sports.io/football/players/16556.png,22,52,F,6.7,False,False,1,0,,,7,0,87%,0,3,2,1,0,0,0,0,0,0,0,,,,,,
21353,Atalanta,499,30878,Alberto Paloschi,https://media.api-sports.io/football/players/30878.png,6,43,F,6.5,False,False,0,0,,,1,0,20%,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21349,Fiorentina,502,21081,Ciprian Tătărușanu,https://media.api-sports.io/football/players/21081.png,90,12,G,6.1,False,False,0,0,2.0,2.0,22,0,91%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21349,Fiorentina,502,30745,Nenad Tomović,https://media.api-sports.io/football/players/30745.png,90,40,D,6.9,False,False,0,0,,,68,0,89%,3,9,6,0,0,2,3,1,0,0,0,,,,,,
21349,Fiorentina,502,18827,Carlos Sánchez,https://media.api-sports.io/football/players/18827.png,90,6,M,7.1,False,False,0,0,,,66,0,90%,1,8,4,0,0,1,0,0,0,0,0,,1.0,,,,
21349,Fiorentina,502,91378,Davide Astori,https://media.api-sports.io/football/players/91378.png,90,13,D,7.3,False,False,1,0,,,52,0,89%,1,17,11,2,1,4,1,0,0,0,0,,,,,,
21349,Fiorentina,502,211,Matías Vecino,https://media.api-sports.io/football/players/211.png,90,8,M,7.4,False,False,2,1,,,48,1,87%,1,13,5,1,1,0,4,0,0,0,0,,2.0,,,,
21349,Fiorentina,502,210,Borja Valero,https://media.api-sports.io/football/players/210.png,90,20,M,6.7,True,False,1,1,,,72,2,90%,0,6,2,1,1,1,1,1,0,0,0,,2.0,1.0,,,1.0
21349,Fiorentina,502,30410,Federico Chiesa,https://media.api-sports.io/football/players/30410.png,83,25,F,7.4,False,False,4,1,,,42,1,87%,0,10,7,3,3,2,1,0,0,0,0,,1.0,,,,
21349,Fiorentina,502,30456,Riccardo Saponara,https://media.api-sports.io/football/players/30456.png,61,21,M,6.6,False,False,0,0,,,25,2,78%,0,4,2,3,2,0,0,0,0,0,0,,,,,,
21349,Fiorentina,502,873,Federico Bernardeschi,https://media.api-sports.io/football/players/873.png,61,10,M,6.7,False,False,3,2,,,16,1,80%,0,10,3,3,0,2,2,0,0,0,0,,,,,,
21349,Fiorentina,502,1586,Cristian Tello,https://media.api-sports.io/football/players/1586.png,90,16,F,7.4,False,False,3,2,,,36,3,78%,0,7,4,6,3,0,0,0,0,0,0,,,,1.0,,
21349,Fiorentina,502,57,Nikola Kalinić,https://media.api-sports.io/football/players/57.png,89,9,F,6.4,False,False,1,0,,,5,0,62%,0,9,3,1,0,2,3,0,1,0,0,,,,,,
21349,Fiorentina,502,70757,Maximiliano Olivera,https://media.api-sports.io/football/players/70757.png,7,15,M,6.3,False,True,0,0,,,3,0,75%,0,3,2,0,0,1,1,1,0,0,0,,,,,,
21349,Fiorentina,502,30540,Khouma Babacar,https://media.api-sports.io/football/players/30540.png,29,30,F,6.4,False,True,0,0,,,3,0,75%,0,1,0,0,0,0,0,0,0,0,0,,,,,,
21349,Fiorentina,502,30434,Josip Iličić,https://media.api-sports.io/football/players/30434.png,29,72,F,7.1,False,True,3,0,,,12,1,75%,0,8,5,3,2,3,1,1,0,0,0,,,,,,
21349,Empoli,511,2998,Łukasz Skorupski,https://media.api-sports.io/football/players/2998.png,90,28,G,7.2,False,False,0,0,1.0,6.0,14,0,48%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21349,Empoli,511,31050,Frédéric Veseli,https://media.api-sports.io/football/players/31050.png,90,13,D,6.1,False,False,0,0,,,9,0,50%,0,10,5,0,0,0,2,1,0,0,0,,3.0,,,,
21349,Empoli,511,31542,Giuseppe Bellusci,https://media.api-sports.io/football/players/31542.png,90,6,D,7.0,False,False,1,0,,,18,0,69%,0,5,4,0,0,2,0,0,0,0,0,,,,,,
21349,Empoli,511,30737,Federico Barba,https://media.api-sports.io/football/players/30737.png,90,19,D,6.2,False,False,0,0,,,19,0,73%,0,7,3,0,0,3,3,1,0,0,0,,,,,,
21349,Empoli,511,31046,Manuel Pasqual,https://media.api-sports.io/football/players/31046.png,90,21,D,6.5,False,False,1,1,,,34,0,82%,2,7,2,0,0,1,1,0,0,1,0,,3.0,,1.0,,
21349,Empoli,511,31054,Rade Krunić,https://media.api-sports.io/football/players/31054.png,90,33,M,6.9,False,False,2,1,,,22,0,81%,0,10,7,1,1,2,1,1,0,0,0,,1.0,,,,
21349,Empoli,511,70351,Marcel Büchel,https://media.api-sports.io/football/players/70351.png,75,77,M,6.7,False,False,0,0,,,15,0,75%,2,4,3,0,0,0,0,0,0,0,0,,,,,,
21349,Empoli,511,31617,Daniele Croce,https://media.api-sports.io/football/players/31617.png,90,11,M,6.1,True,False,1,1,,,26,1,86%,1,22,9,3,3,4,2,1,0,0,0,,5.0,,,,
21349,Empoli,511,2371,Omar El Kaddouri,https://media.api-sports.io/football/players/2371.png,81,10,M,7.9,False,False,1,1,,,24,3,82%,0,10,6,1,1,1,1,0,0,0,0,,,,1.0,,
21349,Empoli,511,31063,Levan Mch'edlidze,https://media.api-sports.io/football/players/31063.png,68,9,F,6.8,False,False,2,0,,,8,1,50%,0,9,4,0,0,1,2,0,0,0,0,,,,,,
21349,Empoli,511,50464,Mame Thiam,https://media.api-sports.io/football/players/50464.png,90,27,F,6.4,False,False,3,1,,,21,2,80%,1,13,4,1,0,1,3,0,0,0,0,,1.0,,,,
21349,Empoli,511,31645,Marco Zambelli,https://media.api-sports.io/football/players/31645.png,9,3,D,7.0,False,False,0,0,,,3,1,100%,1,2,0,0,0,0,1,0,0,0,0,,,,,,
21349,Empoli,511,30748,Assane Dioussé,https://media.api-sports.io/football/players/30748.png,15,8,M,6.6,False,False,0,0,,,9,0,90%,0,2,1,0,0,1,1,1,0,0,0,,,,,,
21349,Empoli,511,30760,Manuel Pucciarelli,https://media.api-sports.io/football/players/30760.png,22,20,F,7.1,False,False,0,0,,,3,0,50%,0,4,3,1,1,1,1,0,0,0,0,,,,,1.0,
21354,Torino,503,18908,Joe Hart,https://media.api-sports.io/football/players/18908.png,90,21,G,5.8,False,False,0,0,1.0,0.0,29,0,82%,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,
21354,Torino,503,2286,Davide Zappacosta,https://media.api-sports.io/football/players/2286.png,90,7,M,7.8,False,False,1,1,,,39,6,86%,2,2,1,1,1,0,2,0,0,0,0,,,,,,
21354,Torino,503,30742,Luca Rossettini,https://media.api-sports.io/football/players/30742.png,90,13,D,6.9,False,False,1,0,,,90,0,90%,1,6,4,0,0,1,1,1,0,0,0,,,,,,
