fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,dribbles_attempts,dribbles_success,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,shots_total,shots_on,passes_key,tackles_total,tackles_interceptions,fouls_drawn,fouls_committed,goals_assists,tackles_blocks,goals_total,dribbles_past,offsides,penalty_commited,penalty_won
1126342,Bayer Leverkusen,168,563,Alejandro Grimaldo,https://media.api-sports.io/football/players/563.png,90.0,20,D,6.9,False,False,0,,56.0,51,8.0,4.0,2.0,,0,0,0,0,,1.0,,,4.0,,,,,,,2.0,,,
1126342,Bayer Leverkusen,168,231029,Nathan Tella,https://media.api-sports.io/football/players/231029.png,60.0,19,M,7.3,False,False,0,,29.0,27,3.0,1.0,2.0,1.0,0,0,0,0,,1.0,1.0,6.0,,1.0,,,,,,1.0,1.0,,
1126342,Bayer Leverkusen,168,1464,Granit Xhaka,https://media.api-sports.io/football/players/1464.png,78.0,34,M,8.2,False,False,0,,87.0,83,4.0,3.0,,,0,0,0,0,,1.0,1.0,3.0,2.0,2.0,1.0,,1.0,,,,,,
1126342,Bayer Leverkusen,168,6002,Exequiel Palacios,https://media.api-sports.io/football/players/6002.png,90.0,25,M,7.9,False,False,0,,98.0,95,14.0,8.0,,,0,0,0,0,,2.0,,1.0,5.0,2.0,3.0,3.0,,,,3.0,,,
1126342,Bayer Leverkusen,168,129682,Amine Adli,https://media.api-sports.io/football/players/129682.png,90.0,21,M,9.7,False,False,0,,42.0,33,10.0,10.0,3.0,3.0,0,0,0,0,,5.0,3.0,2.0,3.0,,2.0,1.0,1.0,,1.0,,1.0,,
1126342,Bayer Leverkusen,168,39071,Victor Okoh Boniface,https://media.api-sports.io/football/players/39071.png,71.0,22,F,8.7,False,False,0,,16.0,11,7.0,3.0,3.0,1.0,0,0,0,0,,4.0,3.0,2.0,,1.0,1.0,,1.0,,1.0,2.0,2.0,,
1126342,Bayer Leverkusen,168,203224,Florian Wirtz,https://media.api-sports.io/football/players/203224.png,72.0,10,F,8.9,False,False,0,,36.0,32,4.0,2.0,1.0,1.0,0,0,0,0,,2.0,1.0,4.0,,,1.0,1.0,1.0,,1.0,,,,
1126342,Bayer Leverkusen,168,25635,Jonas Hofmann,https://media.api-sports.io/football/players/25635.png,30.0,7,M,7.3,False,True,0,,18.0,18,3.0,,1.0,,0,0,0,0,,1.0,1.0,2.0,,,,1.0,,,1.0,,,,
1126342,Bayer Leverkusen,168,66019,Adam Hložek,https://media.api-sports.io/football/players/66019.png,19.0,23,F,6.7,False,True,0,,6.0,5,2.0,1.0,1.0,1.0,0,0,0,0,,,,,,,,1.0,,,,,,,
1126342,Bayer Leverkusen,168,127817,Piero Hincapié,https://media.api-sports.io/football/players/127817.png,18.0,3,D,6.6,False,True,0,,26.0,24,,,,,0,0,0,0,,,,,,1.0,,,,,,,,,
