fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Assists,Counter Attacks,Cross Attacks,Free Kicks,Goals,Goal Attempts,Substitutions,Throwins,Medical Treatment
29077,497,AS Roma,https://media.api-sports.io/football/teams/497.png,8,7,18.0,3,11.0,7.0,18,8,2,62%,3,0.0,3,553.0,472.0,85%,,,,,,,,,
29077,493,Spal,https://media.api-sports.io/football/teams/493.png,5,0,6.0,1,5.0,1.0,7,9,2,38%,5,1.0,8,322.0,232.0,72%,,,,,,,,,
29075,496,Juventus,https://media.api-sports.io/football/teams/496.png,3,11,21.0,7,13.0,8.0,10,8,1,64%,1,0.0,1,618.0,535.0,87%,,,,,,,,,
29075,495,Genoa,https://media.api-sports.io/football/teams/495.png,2,5,9.0,2,4.0,5.0,15,2,2,36%,3,0.0,2,354.0,264.0,75%,,,,,,,,,
29079,494,Udinese,https://media.api-sports.io/football/teams/494.png,5,3,11.0,3,8.0,3.0,12,3,1,39%,3,0.0,1,424.0,336.0,79%,,,,,,,,,
29079,492,Napoli,https://media.api-sports.io/football/teams/492.png,4,6,14.0,4,8.0,6.0,11,5,2,61%,4,0.0,5,656.0,557.0,85%,,,,,,,,,
29073,512,Frosinone,https://media.api-sports.io/football/teams/512.png,4,1,7.0,2,4.0,3.0,15,6,1,40%,2,0.0,7,299.0,227.0,76%,,,,,,,,,
29073,511,Empoli,https://media.api-sports.io/football/teams/511.png,10,5,20.0,5,9.0,11.0,17,8,4,60%,3,0.0,2,464.0,397.0,86%,,,,,,,,,
29071,491,Chievo,https://media.api-sports.io/football/teams/491.png,1,2,3.0,0,2.0,1.0,14,1,2,38%,3,1.0,2,407.0,319.0,78%,,,,,,,,,
29071,499,Atalanta,https://media.api-sports.io/football/teams/499.png,7,8,17.0,2,9.0,8.0,15,2,1,62%,1,0.0,0,661.0,582.0,88%,,,,,,,,,
29070,500,Bologna,https://media.api-sports.io/football/teams/500.png,2,4,7.0,1,6.0,1.0,10,3,1,47%,2,0.0,4,376.0,277.0,74%,,,,,,,,,
29070,503,Torino,https://media.api-sports.io/football/teams/503.png,6,4,11.0,1,5.0,6.0,22,4,1,53%,2,0.0,0,428.0,344.0,80%,,,,,,,,,
29076,523,Parma,https://media.api-sports.io/football/teams/523.png,1,2,4.0,1,2.0,2.0,6,2,1,34%,2,0.0,7,307.0,219.0,71%,,,,,,,,,
29076,487,Lazio,https://media.api-sports.io/football/teams/487.png,9,6,18.0,3,11.0,7.0,12,8,2,66%,3,0.0,1,578.0,475.0,82%,,,,,,,,,
29072,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,2,5,11.0,4,8.0,3.0,13,6,0,57%,0,0.0,3,478.0,381.0,80%,,,,,,,,,
29072,490,Cagliari,https://media.api-sports.io/football/teams/490.png,4,3,9.0,2,5.0,4.0,20,7,2,43%,2,0.0,2,363.0,254.0,70%,,,,,,,,,
29074,505,Inter,https://media.api-sports.io/football/teams/505.png,4,10,18.0,4,11.0,7.0,13,9,1,57%,2,0.0,1,560.0,495.0,88%,,,,,,,,,
29074,489,AC Milan,https://media.api-sports.io/football/teams/489.png,1,8,15.0,6,6.0,9.0,7,4,1,43%,5,0.0,3,428.0,358.0,84%,,,,,,,,,
