fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_total,duels_total,duels_won,tackles_blocks,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,dribbles_attempts,shots_total,shots_on,dribbles_success,goals_total,offsides,penalty_commited,penalty_won
1325897,Inter,505,419620,Giacomo De Pieri,https://media.api-sports.io/football/players/419620.png,,49,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Inter,505,217,Lautaro Martínez,https://media.api-sports.io/football/players/217.png,,10,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Lazio,487,26644,Christos Mandas,https://media.api-sports.io/football/players/26644.png,90.0,35,G,6.3,False,False,2,0.0,,30.0,22,0,0,0,0,0.0,,,,,,,,,,,,,,,,,
1325897,Lazio,487,30866,Manuel Lazzari,https://media.api-sports.io/football/players/30866.png,90.0,29,D,6.2,False,False,0,0.0,,38.0,31,0,0,0,0,,,,1.0,,,1.0,,,,,,,,,,,
1325897,Lazio,487,1775,Samuel Gigot,https://media.api-sports.io/football/players/1775.png,90.0,2,D,6.3,False,False,0,0.0,,46.0,42,1,0,0,0,,2.0,,4.0,2.0,,,1.0,2.0,,,1.0,,,,,1.0,
1325897,Lazio,487,1632,Alessio Romagnoli,https://media.api-sports.io/football/players/1632.png,45.0,13,D,6.3,False,False,0,0.0,,16.0,16,0,0,0,0,,,,2.0,2.0,,,,,,,,,,,,,
1325897,Lazio,487,30554,Luca Pellegrini,https://media.api-sports.io/football/players/30554.png,61.0,3,D,6.6,False,False,0,0.0,,31.0,27,1,0,0,0,,,,6.0,2.0,,1.0,1.0,,,,3.0,1.0,,,,,
1325897,Lazio,487,30784,Nicolò Rovella,https://media.api-sports.io/football/players/30784.png,90.0,6,M,7.2,False,False,0,0.0,,67.0,63,0,0,0,0,,,3.0,4.0,3.0,,,,4.0,,1.0,,,,,,,
1325897,Lazio,487,1454,Mattéo Guendouzi,https://media.api-sports.io/football/players/1454.png,90.0,8,M,7.9,False,False,0,0.0,,58.0,52,1,0,0,0,,3.0,4.0,6.0,5.0,,1.0,,1.0,,1.0,,,1.0,,,,
1325897,Lazio,487,135519,Gustav Isaksen,https://media.api-sports.io/football/players/135519.png,78.0,18,M,6.9,False,False,0,0.0,,26.0,24,1,0,0,0,,,,10.0,2.0,,2.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,,,,
1325897,Lazio,487,22015,Boulaye Dia,https://media.api-sports.io/football/players/22015.png,90.0,19,M,6.3,False,False,0,0.0,,29.0,24,0,0,0,0,,1.0,,6.0,2.0,,,,,,1.0,,,,,,,
1325897,Lazio,487,30937,Mattia Zaccagni,https://media.api-sports.io/football/players/30937.png,61.0,10,M,7.2,True,False,0,0.0,,16.0,14,0,0,0,0,,3.0,1.0,7.0,4.0,,,1.0,,3.0,1.0,1.0,1.0,,,1.0,,
1325897,Lazio,487,161621,Loum Tchaouna,https://media.api-sports.io/football/players/161621.png,61.0,20,F,6.2,False,False,0,0.0,,14.0,11,0,0,0,0,,,,9.0,2.0,,1.0,2.0,,,3.0,,,1.0,,,,
1325897,Lazio,487,162952,Mario Gila Fuentes,https://media.api-sports.io/football/players/162952.png,45.0,34,D,6.9,False,True,0,0.0,,35.0,34,0,0,0,0,,1.0,,2.0,,,,,1.0,,1.0,,,,,,,
1325897,Lazio,487,41577,Nuno Tavares,https://media.api-sports.io/football/players/41577.png,29.0,30,D,6.7,False,True,0,0.0,,9.0,9,0,0,0,0,,,1.0,8.0,4.0,,,2.0,,1.0,3.0,,,2.0,,,,
1325897,Lazio,487,2299,Pedro,https://media.api-sports.io/football/players/2299.png,29.0,9,F,6.6,False,True,0,0.0,,23.0,20,0,0,0,0,,,,2.0,,,,1.0,1.0,,,,,,,,,
1325897,Lazio,487,133729,Tijjani Noslin,https://media.api-sports.io/football/players/133729.png,29.0,14,F,6.2,False,True,0,0.0,,8.0,7,0,0,0,0,,,,4.0,,,,,,,2.0,,,,,,,
1325897,Lazio,487,327897,Arijon Ibrahimović,https://media.api-sports.io/football/players/327897.png,12.0,27,M,6.3,False,True,0,0.0,,6.0,4,1,0,0,0,,,,5.0,1.0,,,1.0,,,1.0,,,,,,,
1325897,Lazio,487,63934,Alessio Furlanetto,https://media.api-sports.io/football/players/63934.png,,55,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Lazio,487,31037,Ivan Provedel,https://media.api-sports.io/football/players/31037.png,,94,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Lazio,487,1844,Adam Marušić,https://media.api-sports.io/football/players/1844.png,,77,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Lazio,487,350857,Oliver Provstgaard,https://media.api-sports.io/football/players/350857.png,,25,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1325897,Lazio,487,333116,Reda Belahyane,https://media.api-sports.io/football/players/333116.png,,21,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Juventus,496,849,Mattia Perin,https://media.api-sports.io/football/players/849.png,90.0,1,G,7.3,False,False,1,0.0,4.0,36.0,34,0,0,0,0,0.0,,1.0,4.0,2.0,,,,,1.0,,,,,,,,
1323908,Juventus,496,1138,Timothy Weah,https://media.api-sports.io/football/players/1138.png,90.0,22,D,6.9,False,False,0,0.0,,59.0,52,0,0,0,0,,,3.0,4.0,3.0,,,2.0,,,,,,,,,,
1323908,Juventus,496,268341,Federico Gatti,https://media.api-sports.io/football/players/268341.png,90.0,4,D,7,False,False,0,0.0,,83.0,79,0,0,0,0,,,,5.0,3.0,1.0,,1.0,1.0,2.0,,,,,,,,
1323908,Juventus,496,19263,Lloyd Kelly,https://media.api-sports.io/football/players/19263.png,54.0,6,D,6.9,False,False,0,0.0,,73.0,66,0,0,0,0,,,1.0,8.0,5.0,,,2.0,,,,,,,,,,
1323908,Juventus,496,127011,Andrea Cambiaso,https://media.api-sports.io/football/players/127011.png,84.0,27,D,6.7,False,False,0,0.0,,72.0,68,0,0,0,0,,,,3.0,1.0,,1.0,,3.0,1.0,1.0,,,,,,,
1323908,Juventus,496,116,Khéphren Thuram,https://media.api-sports.io/football/players/116.png,90.0,19,M,8.2,False,False,0,0.0,,93.0,87,0,0,0,0,,1.0,3.0,16.0,7.0,,,1.0,,1.0,4.0,1.0,1.0,3.0,1.0,,,
1323908,Juventus,496,21104,Randal Kolo Muani,https://media.api-sports.io/football/players/21104.png,90.0,20,M,8.3,False,False,0,1.0,,30.0,21,0,0,0,0,,4.0,1.0,13.0,9.0,,,2.0,,3.0,6.0,1.0,1.0,4.0,,,,
1323908,Juventus,496,415,Weston McKennie,https://media.api-sports.io/football/players/415.png,90.0,16,M,6.7,True,False,0,0.0,,47.0,43,0,0,0,0,,2.0,1.0,10.0,3.0,,1.0,3.0,,,2.0,,,1.0,,,,
1323908,Juventus,496,36899,Teun Koopmeiners,https://media.api-sports.io/football/players/36899.png,54.0,8,M,7,False,False,0,0.0,,26.0,25,0,0,0,0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,
1323908,Juventus,496,26315,Nicolás González,https://media.api-sports.io/football/players/26315.png,60.0,11,M,6.3,False,False,0,0.0,,27.0,21,0,0,0,0,,,1.0,4.0,3.0,,,,,,1.0,1.0,,,,,,
1323908,Juventus,496,30415,Dušan Vlahović,https://media.api-sports.io/football/players/30415.png,90.0,9,F,6.5,False,False,0,0.0,,20.0,16,0,0,0,0,,,,16.0,9.0,,,2.0,,1.0,5.0,6.0,2.0,2.0,,,,
1323908,Juventus,496,30533,Manuel Locatelli,https://media.api-sports.io/football/players/30533.png,36.0,5,M,7.3,False,True,0,0.0,,47.0,44,1,0,0,0,,1.0,2.0,6.0,3.0,,,,,,1.0,,,1.0,,,,
1323908,Juventus,496,339883,Kenan Yıldız,https://media.api-sports.io/football/players/339883.png,36.0,10,F,7.2,False,True,0,0.0,,23.0,22,0,0,0,0,,2.0,,3.0,3.0,,,,1.0,1.0,2.0,3.0,,2.0,,,,
1323908,Juventus,496,161585,Francisco Conceição,https://media.api-sports.io/football/players/161585.png,30.0,7,F,6.6,False,True,0,0.0,,18.0,16,0,0,0,0,,,,3.0,2.0,,,,,2.0,1.0,,,,,,,
1323908,Juventus,496,330419,Alberto Costa,https://media.api-sports.io/football/players/330419.png,11.0,2,D,6.6,False,True,0,0.0,,4.0,4,0,0,0,0,,,,,,,,,1.0,,,,,,,,,
1323908,Juventus,496,850,Carlo Pinsoglio,https://media.api-sports.io/football/players/850.png,,23,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Juventus,496,30670,Michele Di Gregorio,https://media.api-sports.io/football/players/30670.png,,29,G,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Juventus,496,335101,Jonas Rouhi,https://media.api-sports.io/football/players/335101.png,,40,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Juventus,496,436925,Javier Gil,https://media.api-sports.io/football/players/436925.png,,41,D,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Juventus,496,339872,Vasilije Adžić,https://media.api-sports.io/football/players/339872.png,,17,M,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Juventus,496,344773,Alessandro Pietrelli,https://media.api-sports.io/football/players/344773.png,,48,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Juventus,496,346866,Samuel Mbangula,https://media.api-sports.io/football/players/346866.png,,51,F,,False,True,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,
1323908,Empoli,511,81012,Devis Vásquez,https://media.api-sports.io/football/players/81012.png,90.0,23,G,7.6,False,False,1,0.0,3.0,31.0,17,0,0,0,0,0.0,1.0,,,,,,,,,,,,,,,,
1323908,Empoli,511,388547,Luca Marianucci,https://media.api-sports.io/football/players/388547.png,90.0,35,D,7.2,False,False,0,0.0,,29.0,26,0,0,0,0,,,1.0,4.0,1.0,1.0,,,,,,,,,,,,
1323908,Empoli,511,14329,Ardian Ismajli,https://media.api-sports.io/football/players/14329.png,45.0,34,D,6.7,True,False,0,0.0,,22.0,19,0,0,0,0,,,1.0,5.0,1.0,,,1.0,,,,,,,,,,
1323908,Empoli,511,422152,Lorenzo Tosto,https://media.api-sports.io/football/players/422152.png,61.0,31,D,6.7,False,False,0,0.0,,20.0,15,0,0,0,0,,,3.0,5.0,3.0,,1.0,,1.0,,,,,,,,,
