fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,passes_key,tackles_interceptions,duels_total,duels_won,dribbles_attempts,fouls_committed,shots_total,tackles_total,dribbles_success,dribbles_past,fouls_drawn,tackles_blocks,shots_on,offsides,goals_total,goals_assists,penalty_commited,penalty_won
748123,FC Midtjylland,397,15798,Evander,https://media.api-sports.io/football/players/15798.png,90.0,10,M,6.2,False,False,0,,36.0,27,0,0,0,0,,,2.0,10.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,,,,,,,,
748123,FC Midtjylland,397,10016,Paulinho,https://media.api-sports.io/football/players/10016.png,82.0,29,M,6.2,False,False,0,,38.0,21,0,0,0,0,,,1.0,8.0,3.0,4.0,,,,1.0,1.0,1.0,,,,,,,
748123,FC Midtjylland,397,45017,Anders Dreyer,https://media.api-sports.io/football/players/45017.png,69.0,36,F,6.2,False,False,0,,9.0,8,0,0,0,0,,,,8.0,2.0,2.0,,,,1.0,2.0,1.0,,,,,,,
748123,FC Midtjylland,397,15810,Júnior Brumado,https://media.api-sports.io/football/players/15810.png,68.0,74,F,6.7,False,False,0,,12.0,9,0,0,0,0,,,,11.0,8.0,,,,1.0,,,3.0,,,,,,,
748123,FC Midtjylland,397,2755,Awer Mabil,https://media.api-sports.io/football/players/2755.png,57.0,11,F,6.3,False,False,0,,22.0,13,0,0,0,0,,,1.0,7.0,4.0,2.0,,,,1.0,2.0,1.0,,,1.0,,,,
748123,FC Midtjylland,397,106722,Jared Thompson,https://media.api-sports.io/football/players/106722.png,,30,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,FC Midtjylland,397,65,Dion Cools,https://media.api-sports.io/football/players/65.png,45.0,2,D,6.9,False,True,0,,18.0,11,0,0,0,0,,,1.0,3.0,3.0,,,,,,,,1.0,,,,,,
748123,FC Midtjylland,397,16046,Victor Torp,https://media.api-sports.io/football/players/16046.png,,39,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,FC Midtjylland,397,128761,Nicolas Dyhr,https://media.api-sports.io/football/players/128761.png,8.0,44,D,6.3,False,True,0,,5.0,2,0,0,0,0,,,1.0,,,,,,,,,,,,,,,,
748123,FC Midtjylland,397,161790,Aral Şimşir,https://media.api-sports.io/football/players/161790.png,,58,F,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,FC Midtjylland,397,180298,Oscar Fraulo,https://media.api-sports.io/football/players/180298.png,,54,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
748123,FC Midtjylland,397,135519,Gustav Isaksen,https://media.api-sports.io/football/players/135519.png,33.0,45,M,6.2,False,True,0,,3.0,1,0,0,0,0,,,1.0,3.0,,1.0,,,,,,,,,,,,,
748123,FC Midtjylland,397,156536,Mads Hansen,https://media.api-sports.io/football/players/156536.png,22.0,48,F,6.7,False,True,0,,6.0,3,0,0,0,0,,,,6.0,3.0,,,,2.0,,1.0,,,,,,,,
748123,FC Midtjylland,397,161561,Victor Lind,https://media.api-sports.io/football/players/161561.png,21.0,53,F,6.3,False,True,0,,4.0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,
748127,CFR 1907 Cluj,2246,42979,Giedrius Arlauskis,https://media.api-sports.io/football/players/42979.png,90.0,87,G,7.2,False,False,1,5.0,28.0,6,0,0,0,0,0.0,,,1.0,1.0,,,,,,,,,,,,,,
748127,CFR 1907 Cluj,2246,42986,Cristian Manea,https://media.api-sports.io/football/players/42986.png,90.0,4,D,7.3,False,False,0,,25.0,8,0,0,0,0,,,,4.0,1.0,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,,,
748127,CFR 1907 Cluj,2246,45085,Rachid Bouhenna,https://media.api-sports.io/football/players/45085.png,90.0,29,D,6.5,False,False,0,,12.0,7,0,0,0,0,,,1.0,3.0,1.0,,,,,,1.0,,,,,,,,
748127,CFR 1907 Cluj,2246,43104,Mike Cestor,https://media.api-sports.io/football/players/43104.png,90.0,92,D,6.6,False,False,0,,20.0,9,0,0,0,0,,,1.0,3.0,1.0,,1.0,,,,,1.0,2.0,,,,,,
748127,CFR 1907 Cluj,2246,42985,Mário Camora,https://media.api-sports.io/football/players/42985.png,90.0,45,D,6.9,True,False,0,,23.0,9,0,0,0,0,,,2.0,10.0,6.0,1.0,1.0,,3.0,,1.0,1.0,1.0,,,,,,
748127,CFR 1907 Cluj,2246,105500,Mateo Sušić,https://media.api-sports.io/football/players/105500.png,90.0,16,M,6.5,False,False,0,,24.0,15,1,0,0,0,,1.0,,11.0,4.0,,1.0,,2.0,,2.0,1.0,,,,,,,
748127,CFR 1907 Cluj,2246,43213,Jonathan Rodriguez,https://media.api-sports.io/football/players/43213.png,90.0,5,M,6.3,False,False,0,,26.0,13,0,0,0,0,,,6.0,9.0,4.0,,1.0,,2.0,,4.0,1.0,,,,,,,
748127,CFR 1907 Cluj,2246,2794,Rúnar Már  Sigurjónsson,https://media.api-sports.io/football/players/2794.png,85.0,8,M,6.7,False,False,0,,13.0,9,0,0,0,0,,,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,
748127,CFR 1907 Cluj,2246,42993,Ciprian Deac,https://media.api-sports.io/football/players/42993.png,90.0,10,M,6.2,False,False,0,,27.0,16,1,0,0,0,,2.0,1.0,20.0,5.0,,3.0,,3.0,,7.0,1.0,,,,,,,
