fixture_id,team_id,team_name,team_logo,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,Substitutions
38299,864,Cosenza,https://media.api-sports.io/football/teams/864.png,5,4,9.0,,,,19,1,0,51%,2,0.0,3.0,,,,
38299,514,Salernitana,https://media.api-sports.io/football/teams/514.png,3,4,7.0,,,,18,0,4,49%,2,0.0,5.0,,,,
38301,870,Padova,https://media.api-sports.io/football/teams/870.png,1,4,5.0,,,,16,4,0,41%,2,0.0,3.0,,,,
38301,506,Benevento,https://media.api-sports.io/football/teams/506.png,6,7,13.0,,,,17,3,4,59%,4,0.0,1.0,,,,
38306,507,Ascoli,https://media.api-sports.io/football/teams/507.png,6,4,10.0,,,,9,5,3,56%,3,1.0,5.0,,,,
38306,501,Crotone,https://media.api-sports.io/football/teams/501.png,7,3,10.0,,,,19,7,2,44%,2,0.0,2.0,,,,
38308,510,Cittadella,https://media.api-sports.io/football/teams/510.png,4,14,18.0,,,,24,11,1,50%,2,0.0,3.0,,,,
38308,522,Palermo,https://media.api-sports.io/football/teams/522.png,4,5,9.0,,,,17,2,1,50%,2,0.0,4.0,,,,
38312,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,13,15.0,,,,13,3,2,55%,3,0.0,1.0,,,,
38312,525,Pescara,https://media.api-sports.io/football/teams/525.png,5,4,9.0,,,,17,4,0,45%,2,0.0,0.0,,,,
38314,517,Venezia,https://media.api-sports.io/football/teams/517.png,9,2,11.0,,,,12,7,1,64%,2,0.0,0.0,,,,
38314,519,Carpi,https://media.api-sports.io/football/teams/519.png,1,2,3.0,,,,21,3,0,36%,3,0.0,8.0,,,,
38309,520,Cremonese,https://media.api-sports.io/football/teams/520.png,6,5,11.0,,,,8,3,1,46%,2,0.0,3.0,,,,
38309,524,Perugia,https://media.api-sports.io/football/teams/524.png,3,6,9.0,,,,23,2,1,54%,3,0.0,2.0,,,,
38307,506,Benevento,https://media.api-sports.io/football/teams/506.png,1,6,7.0,,,,19,8,1,56%,3,0.0,1.0,,,,
38307,518,Brescia,https://media.api-sports.io/football/teams/518.png,2,2,4.0,,,,14,2,2,44%,2,0.0,1.0,,,,
38311,868,Livorno,https://media.api-sports.io/football/teams/868.png,5,6,11.0,,,,13,7,1,52%,3,0.0,4.0,,,,
38311,870,Padova,https://media.api-sports.io/football/teams/870.png,5,1,6.0,,,,11,8,1,48%,3,0.0,4.0,,,,
38313,515,Spezia,https://media.api-sports.io/football/teams/515.png,4,3,7.0,,,,14,2,2,48%,3,0.0,1.0,,,,
38313,867,Lecce,https://media.api-sports.io/football/teams/867.png,2,11,13.0,,,,8,7,2,52%,4,0.0,3.0,,,,
38320,522,Palermo,https://media.api-sports.io/football/teams/522.png,5,2,7.0,,,,18,5,3,53%,3,0.0,2.0,,,,
38320,514,Salernitana,https://media.api-sports.io/football/teams/514.png,4,3,7.0,,,,15,3,2,47%,2,0.0,4.0,,,,
38317,501,Crotone,https://media.api-sports.io/football/teams/501.png,3,2,5.0,,,,18,7,2,50%,2,0.0,1.0,,,,
38317,510,Cittadella,https://media.api-sports.io/football/teams/510.png,1,1,2.0,,,,22,4,2,50%,5,0.0,3.0,,,,
38315,519,Carpi,https://media.api-sports.io/football/teams/519.png,3,8,11.0,,,,23,3,3,50%,5,0.0,3.0,,,,
38315,521,Foggia,https://media.api-sports.io/football/teams/521.png,5,2,7.0,,,,14,4,2,50%,2,0.0,3.0,,,,
38318,867,Lecce,https://media.api-sports.io/football/teams/867.png,7,7,14.0,,,,16,6,0,48%,2,0.0,3.0,,,,
38318,506,Benevento,https://media.api-sports.io/football/teams/506.png,4,7,11.0,,,,15,3,2,52%,3,0.0,6.0,,,,
38321,524,Perugia,https://media.api-sports.io/football/teams/524.png,1,10,11.0,,,,17,6,2,56%,1,0.0,2.0,,,,
38321,518,Brescia,https://media.api-sports.io/football/teams/518.png,3,1,4.0,,,,15,4,2,44%,3,0.0,1.0,,,,
38316,864,Cosenza,https://media.api-sports.io/football/teams/864.png,3,3,6.0,,,,23,6,2,54%,3,0.0,2.0,,,,
38316,507,Ascoli,https://media.api-sports.io/football/teams/507.png,2,4,6.0,,,,9,3,1,46%,0,0.0,3.0,,,,
38323,515,Spezia,https://media.api-sports.io/football/teams/515.png,10,10,20.0,,,,13,12,1,52%,1,0.0,2.0,,,,
38323,517,Venezia,https://media.api-sports.io/football/teams/517.png,3,0,3.0,,,,13,3,2,48%,2,0.0,9.0,,,,
38328,521,Foggia,https://media.api-sports.io/football/teams/521.png,1,16,17.0,,,,10,2,3,65%,1,0.0,3.0,,,,
38328,501,Crotone,https://media.api-sports.io/football/teams/501.png,5,5,10.0,,,,20,4,0,35%,3,0.0,1.0,,,,
38324,507,Ascoli,https://media.api-sports.io/football/teams/507.png,3,9,12.0,,,,17,9,2,46%,3,0.0,1.0,,,,
38324,524,Perugia,https://media.api-sports.io/football/teams/524.png,4,2,6.0,,,,27,1,3,54%,4,0.0,3.0,,,,
38326,510,Cittadella,https://media.api-sports.io/football/teams/510.png,8,7,15.0,,,,17,6,2,53%,1,0.0,2.0,,,,
38326,519,Carpi,https://media.api-sports.io/football/teams/519.png,3,1,4.0,,,,18,6,1,47%,2,0.0,4.0,,,,
38327,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,5,10.0,,,,25,5,0,52%,1,0.0,2.0,,,,
38327,522,Palermo,https://media.api-sports.io/football/teams/522.png,2,2,4.0,,,,21,1,1,48%,2,0.0,3.0,,,,
38330,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,5,7.0,,,,12,3,4,47%,1,0.0,2.0,,,,
38330,867,Lecce,https://media.api-sports.io/football/teams/867.png,4,6,10.0,,,,15,4,3,53%,2,0.0,1.0,,,,
38331,517,Venezia,https://media.api-sports.io/football/teams/517.png,4,6,10.0,,,,14,3,1,51%,3,1.0,3.0,,,,
38331,870,Padova,https://media.api-sports.io/football/teams/870.png,4,5,9.0,,,,23,3,0,49%,3,0.0,2.0,,,,
38329,868,Livorno,https://media.api-sports.io/football/teams/868.png,5,10,15.0,,,,20,9,2,50%,1,0.0,1.0,,,,
38329,525,Pescara,https://media.api-sports.io/football/teams/525.png,1,3,4.0,,,,16,2,1,50%,2,0.0,5.0,,,,
38325,518,Brescia,https://media.api-sports.io/football/teams/518.png,5,6,11.0,,,,18,6,1,60%,1,0.0,1.0,,,,
38325,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,2,7.0,,,,15,4,1,40%,3,0.0,1.0,,,,
38332,504,Verona,https://media.api-sports.io/football/teams/504.png,11,2,13.0,,,,15,7,1,45%,2,0.0,1.0,,,,
38332,864,Cosenza,https://media.api-sports.io/football/teams/864.png,3,2,5.0,,,,12,7,1,55%,4,0.0,7.0,,,,
38334,519,Carpi,https://media.api-sports.io/football/teams/519.png,3,4,7.0,,,,17,1,7,33%,3,0.0,3.0,,,,
38334,504,Verona,https://media.api-sports.io/football/teams/504.png,4,6,10.0,,,,11,5,1,67%,2,0.0,2.0,,,,
38335,864,Cosenza,https://media.api-sports.io/football/teams/864.png,10,6,16.0,,,,16,8,5,52%,1,0.0,4.0,,,,
38335,510,Cittadella,https://media.api-sports.io/football/teams/510.png,4,1,5.0,,,,14,2,1,48%,2,0.0,6.0,,,,
38338,870,Padova,https://media.api-sports.io/football/teams/870.png,1,3,4.0,,,,19,4,3,46%,4,0.0,1.0,,,,
38338,514,Salernitana,https://media.api-sports.io/football/teams/514.png,1,3,4.0,,,,21,4,1,54%,5,0.0,1.0,,,,
38341,515,Spezia,https://media.api-sports.io/football/teams/515.png,5,5,10.0,,,,12,6,2,49%,1,0.0,5.0,,,,
38341,520,Cremonese,https://media.api-sports.io/football/teams/520.png,5,6,11.0,,,,16,6,1,51%,2,0.0,3.0,,,,
38336,501,Crotone,https://media.api-sports.io/football/teams/501.png,5,4,9.0,,,,20,7,2,51%,1,0.0,5.0,,,,
38336,868,Livorno,https://media.api-sports.io/football/teams/868.png,5,3,8.0,,,,21,9,7,49%,3,0.0,4.0,,,,
38333,506,Benevento,https://media.api-sports.io/football/teams/506.png,7,9,16.0,,,,12,6,0,55%,3,0.0,1.0,,,,
38333,517,Venezia,https://media.api-sports.io/football/teams/517.png,1,8,9.0,,,,12,3,3,45%,3,1.0,4.0,,,,
38340,525,Pescara,https://media.api-sports.io/football/teams/525.png,5,7,12.0,,,,12,9,1,55%,3,0.0,1.0,,,,
38340,518,Brescia,https://media.api-sports.io/football/teams/518.png,6,3,9.0,,,,18,2,2,45%,2,0.0,4.0,,,,
38339,522,Palermo,https://media.api-sports.io/football/teams/522.png,7,11,18.0,,,,18,10,4,54%,3,0.0,2.0,,,,
38339,521,Foggia,https://media.api-sports.io/football/teams/521.png,2,7,9.0,,,,12,3,1,46%,1,0.0,7.0,,,,
38348,514,Salernitana,https://media.api-sports.io/football/teams/514.png,2,4,6.0,,,,8,9,6,51%,2,0.0,4.0,,,,
38348,506,Benevento,https://media.api-sports.io/football/teams/506.png,4,5,9.0,,,,16,6,4,49%,2,0.0,2.0,,,,
38343,510,Cittadella,https://media.api-sports.io/football/teams/510.png,0,7,7.0,,,,21,2,0,46%,6,1.0,5.0,,,,
38343,515,Spezia,https://media.api-sports.io/football/teams/515.png,6,9,15.0,,,,9,7,6,54%,2,0.0,0.0,,,,
38344,520,Cremonese,https://media.api-sports.io/football/teams/520.png,7,6,13.0,,,,23,5,2,62%,2,0.0,3.0,,,,
38344,870,Padova,https://media.api-sports.io/football/teams/870.png,3,4,7.0,,,,18,1,1,38%,3,1.0,7.0,,,,
