fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_saves,passes_total,passes_accuracy,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,passes_key,tackles_total,tackles_interceptions,duels_total,duels_won,dribbles_past,fouls_drawn,penalty_won,tackles_blocks,fouls_committed,dribbles_attempts,dribbles_success,shots_total,shots_on,goals_total,penalty_commited,offsides
881811,Inter,505,194,Stefan de Vrij,https://media.api-sports.io/football/players/194.png,90.0,6,D,7,False,False,0,,40.0,36,0,0,0,0,,,,,3.0,8.0,6.0,,,,,,,,1.0,,,,
881811,Inter,505,31010,Federico Dimarco,https://media.api-sports.io/football/players/31010.png,72.0,32,D,7.3,False,False,0,,63.0,52,0,0,0,0,,,1.0,1.0,2.0,6.0,4.0,,2.0,,,1.0,1.0,,2.0,,,,
881811,Inter,505,226,Denzel Dumfries,https://media.api-sports.io/football/players/226.png,79.0,2,M,7.3,False,False,0,,23.0,19,0,0,0,0,,,1.0,1.0,1.0,11.0,8.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,
881811,Inter,505,30558,Nicolò Barella,https://media.api-sports.io/football/players/30558.png,90.0,23,M,8.6,False,False,0,,49.0,43,0,0,0,0,,1.0,5.0,1.0,,7.0,5.0,,3.0,,,,1.0,,1.0,1.0,1.0,,
881811,Inter,505,201,Marcelo Brozović,https://media.api-sports.io/football/players/201.png,72.0,77,M,7.2,False,False,0,,39.0,35,0,0,0,0,,,,,3.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,
881811,Inter,505,1640,Hakan Çalhanoğlu,https://media.api-sports.io/football/players/1640.png,90.0,20,M,8.2,False,False,0,,52.0,44,0,0,0,0,,1.0,6.0,1.0,1.0,5.0,4.0,,3.0,,,,,,1.0,,,,
881811,Inter,505,887,Matteo Darmian,https://media.api-sports.io/football/players/887.png,79.0,36,M,6.9,False,False,0,,28.0,25,0,0,0,0,,,1.0,3.0,,7.0,3.0,,,,,1.0,1.0,,,,,,
881811,Inter,505,790,Edin Džeko,https://media.api-sports.io/football/players/790.png,90.0,9,F,6.5,False,False,0,,25.0,20,0,0,0,0,,,,,,13.0,6.0,,1.0,,,,7.0,2.0,4.0,2.0,,,2.0
881811,Inter,505,1854,Joaquín Correa,https://media.api-sports.io/football/players/1854.png,55.0,11,F,7.2,False,False,0,,11.0,9,0,0,0,0,,,,1.0,,4.0,2.0,,1.0,,,,1.0,,1.0,1.0,1.0,,
881811,Inter,505,30974,Alex Cordaz,https://media.api-sports.io/football/players/30974.png,,21,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,526,André Onana,https://media.api-sports.io/football/players/526.png,,24,G,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,31009,Alessandro Bastoni,https://media.api-sports.io/football/players/31009.png,,95,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,30422,Robin Gosens,https://media.api-sports.io/football/players/30422.png,11.0,8,D,6.2,False,True,0,,3.0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,336704,Alessandro Fontanarosa,https://media.api-sports.io/football/players/336704.png,,47,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,322626,Mattia Zanotti,https://media.api-sports.io/football/players/322626.png,,46,D,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,193,Danilo D'Ambrosio,https://media.api-sports.io/football/players/193.png,18.0,33,D,6.3,False,True,0,,8.0,7,0,0,0,0,,,,,,1.0,,1.0,,,,,,,,,,,
881811,Inter,505,1457,Henrikh Mkhitaryan,https://media.api-sports.io/football/players/1457.png,,22,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,21004,Lucien Agoumé,https://media.api-sports.io/football/players/21004.png,,42,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,275776,Kristjan Asllani,https://media.api-sports.io/football/players/275776.png,18.0,14,M,6.3,False,True,0,,16.0,15,0,0,0,0,,,,,,2.0,,,,,,,2.0,,,,,,
881811,Inter,505,203,Roberto Gagliardini,https://media.api-sports.io/football/players/203.png,,5,M,,False,True,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,
881811,Inter,505,91422,Raoul Bellanova,https://media.api-sports.io/football/players/91422.png,11.0,12,D,6.5,False,True,0,,6.0,6,0,0,0,0,,,,,1.0,,,,,,,,,,,,,,
