fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_accuracy,tackles_interceptions,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,goals_assists,goals_total,tackles_blocks,tackles_total,penalty_won,penalty_commited,games_rating,passes_key,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past
39197,Barcelona,529,144,Sergio Busquets,https://media.api-sports.io/football/players/144.png,90,5,M,True,False,0,0,,,86,95%,2,0,1,0,0,0,0,,,,0.0,,,,6.6,1.0,7.0,2.0,0.0,0.0,2.0
39197,Barcelona,529,150,Arthur,https://media.api-sports.io/football/players/150.png,74,8,M,False,False,0,0,,,64,97%,1,2,1,0,0,0,0,,,,1.0,1.0,,,7.0,2.0,7.0,4.0,0.0,0.0,
39197,Barcelona,529,153,Ousmane Dembélé,https://media.api-sports.io/football/players/153.png,81,11,F,False,False,3,2,,,33,84%,0,1,0,0,0,0,0,,,,0.0,,,,7.0,4.0,8.0,2.0,4.0,1.0,
39197,Barcelona,529,157,Luis Suárez,https://media.api-sports.io/football/players/157.png,90,9,F,False,False,9,1,,,24,70%,0,0,1,0,0,0,0,,,,0.0,1.0,,,7.7,4.0,13.0,4.0,4.0,0.0,
39197,Barcelona,529,147,Philippe Coutinho,https://media.api-sports.io/football/players/147.png,90,7,M,False,False,8,3,,,56,96%,1,4,0,0,0,0,0,,1.0,,0.0,1.0,,,8.4,2.0,16.0,13.0,10.0,8.0,
39197,Barcelona,529,151,Arturo Vidal,https://media.api-sports.io/football/players/151.png,16,22,M,False,False,0,0,,,24,96%,1,0,0,0,0,0,0,,,,0.0,,,,6.5,0.0,2.0,0.0,0.0,0.0,1.0
39197,Barcelona,529,156,Malcom,https://media.api-sports.io/football/players/156.png,9,14,F,False,False,1,1,,,7,100%,0,2,0,0,0,0,0,,,1.0,0.0,,,,7.6,0.0,2.0,2.0,0.0,0.0,
39196,Atletico Madrid,530,29,Jan Oblak,https://media.api-sports.io/football/players/29.png,90,13,G,False,False,0,0,0.0,0.0,5,38%,0,0,0,0,0,0,0,0.0,,,0.0,,,,6.7,0.0,0.0,0.0,0.0,0.0,
39196,Atletico Madrid,530,41,Juanfran,https://media.api-sports.io/football/players/41.png,90,20,D,False,False,0,0,,,25,86%,4,2,1,0,0,0,0,,,,0.0,2.0,,,7.5,2.0,9.0,4.0,2.0,0.0,
39196,Atletico Madrid,530,31,José Giménez,https://media.api-sports.io/football/players/31.png,45,24,D,False,False,1,0,,,13,72%,1,0,0,0,0,0,0,,,,1.0,,,,6.8,0.0,1.0,1.0,0.0,0.0,
39196,Atletico Madrid,530,33,Lucas Hernández,https://media.api-sports.io/football/players/33.png,90,21,D,False,False,0,0,,,17,65%,0,0,0,0,0,0,0,,,,0.0,,,,6.7,0.0,0.0,0.0,0.0,0.0,
39196,Atletico Madrid,530,34,Filipe Luís,https://media.api-sports.io/football/players/34.png,90,3,D,False,False,1,1,,,26,83%,5,0,1,0,0,0,0,,1.0,,0.0,4.0,,,8.2,2.0,11.0,7.0,2.0,1.0,
39196,Atletico Madrid,530,53,Ángel Correa,https://media.api-sports.io/football/players/53.png,81,10,M,False,False,6,3,,,22,71%,2,1,1,1,0,0,0,,,,0.0,2.0,,,7.4,1.0,12.0,8.0,6.0,5.0,1.0
39196,Atletico Madrid,530,49,Thomas Partey,https://media.api-sports.io/football/players/49.png,90,5,M,False,False,1,0,,,29,74%,3,0,0,0,0,0,0,,1.0,,1.0,1.0,,,7.6,2.0,9.0,4.0,3.0,2.0,2.0
39196,Atletico Madrid,530,44,Rodri,https://media.api-sports.io/football/players/44.png,90,14,M,False,False,1,0,,,43,89%,1,0,1,0,0,0,0,,,,0.0,3.0,,,7.0,0.0,11.0,5.0,1.0,0.0,1.0
39196,Atletico Madrid,530,48,Saúl Ñíguez,https://media.api-sports.io/football/players/48.png,90,8,M,False,False,4,2,,,29,76%,3,0,4,0,0,0,0,,,1.0,0.0,1.0,,,7.3,2.0,15.0,5.0,2.0,1.0,1.0
39196,Atletico Madrid,530,57,Nikola Kalinić,https://media.api-sports.io/football/players/57.png,62,9,F,False,False,0,0,,,7,70%,0,0,0,0,0,0,0,,,,0.0,,,,6.6,2.0,4.0,0.0,0.0,0.0,
39196,Atletico Madrid,530,56,Antoine Griezmann,https://media.api-sports.io/football/players/56.png,90,7,F,True,False,1,1,,,31,79%,0,0,0,0,0,0,0,,,1.0,0.0,3.0,,,7.9,2.0,8.0,5.0,0.0,0.0,1.0
39196,Atletico Madrid,530,35,Francisco Montero,https://media.api-sports.io/football/players/35.png,45,35,D,False,True,0,0,,,7,53%,0,0,0,0,0,0,0,,,,0.0,,,,6.3,0.0,0.0,0.0,0.0,0.0,
39196,Atletico Madrid,530,118,Gelson Martins,https://media.api-sports.io/football/players/118.png,28,18,M,False,True,0,0,,,14,93%,0,2,0,0,0,0,0,,,,0.0,,,,6.6,0.0,3.0,2.0,0.0,0.0,
39196,Atletico Madrid,530,46,Vitolo,https://media.api-sports.io/football/players/46.png,9,23,M,False,True,0,0,,,0,0%,1,2,0,0,0,0,0,,,,0.0,,,,6.8,0.0,2.0,2.0,0.0,0.0,
39196,Borussia Dortmund,165,1,Roman Bürki,https://media.api-sports.io/football/players/1.png,90,1,G,False,False,0,0,2.0,6.0,25,73%,0,0,0,0,0,0,0,0.0,,,0.0,,,,7.1,0.0,0.0,0.0,0.0,0.0,
39196,Borussia Dortmund,165,10,Łukasz Piszczek,https://media.api-sports.io/football/players/10.png,90,26,D,False,False,0,0,,,61,83%,2,0,1,0,0,0,0,,,,2.0,3.0,,,6.8,0.0,10.0,4.0,0.0,0.0,2.0
