fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_total,goals_assists,offsides,penalty_commited,penalty_won
104,Tottenham,47,178,Lucas Moura,https://media.api-sports.io/football/players/178.png,90,27,F,6.8,False,False,1,0,0.0,,14,2.0,58%,0,2,19.0,10.0,3.0,1.0,2,1,0,0,0,0,,3.0,1.0,,,1.0,,
104,Tottenham,47,184,Harry Kane,https://media.api-sports.io/football/players/184.png,90,10,F,6.5,True,False,2,0,0.0,,12,0.0,63%,0,0,12.0,4.0,3.0,2.0,1,1,0,0,0,0,,,,,,,,
104,Tottenham,47,167,Danny Rose,https://media.api-sports.io/football/players/167.png,1,3,D,–,False,False,1,0,0.0,,0,0.0,0%,0,0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,,,,,,,,
104,Tottenham,47,182,Harry Winks,https://media.api-sports.io/football/players/182.png,4,8,M,6.7,False,False,0,0,0.0,,11,0.0,84%,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,,,,,,
104,Tottenham,47,185,Fernando Llorente,https://media.api-sports.io/football/players/185.png,9,18,F,6.4,False,False,0,0,0.0,,2,0.0,66%,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,,,,,
97,Burnley,44,18908,Joe Hart,https://media.api-sports.io/football/players/18908.png,90,20,G,8.0,False,False,0,0,2.0,7.0,11,0.0,44%,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,,1.0,,,,,
97,Burnley,44,18912,Phil Bardsley,https://media.api-sports.io/football/players/18912.png,90,26,D,7.3,False,False,0,0,0.0,,33,1.0,80%,1,1,7.0,4.0,0.0,0.0,2,3,1,0,0,0,,2.0,,,,,,
97,Burnley,44,2936,James Tarkowski,https://media.api-sports.io/football/players/2936.png,90,5,D,6.9,False,False,0,0,0.0,,27,0.0,77%,2,0,9.0,6.0,1.0,1.0,1,0,0,0,0,0,,2.0,1.0,,,1.0,,
97,Burnley,44,18917,Ben Mee,https://media.api-sports.io/football/players/18917.png,90,6,D,7.1,True,False,0,0,0.0,,31,0.0,88%,0,1,12.0,7.0,0.0,0.0,1,0,0,0,0,0,,1.0,,,,,,
97,Burnley,44,18918,Charlie Taylor,https://media.api-sports.io/football/players/18918.png,90,3,D,6.8,False,False,0,0,0.0,,40,0.0,85%,3,0,8.0,6.0,0.0,0.0,3,0,0,0,0,0,,1.0,1.0,,,,,
