fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,offsides,goals_total,goals_assists,penalty_won,penalty_commited
571474,Angers,77,1748,Lassana Coulibaly,https://media.api-sports.io/football/players/1748.png,1.0,9,M,–,False,False,0.0,0.0,0,,2.0,0.0,100%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,
571474,Angers,77,21145,Pierrick Capelle,https://media.api-sports.io/football/players/21145.png,14.0,15,M,6.8,False,False,0.0,0.0,0,,5.0,1.0,83%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,
571474,Angers,77,21652,Casimir Ninga,https://media.api-sports.io/football/players/21652.png,22.0,21,F,6.7,False,False,0.0,0.0,0,,7.0,0.0,77%,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,,,,,
571473,Lille,79,22221,Mike Maignan,https://media.api-sports.io/football/players/22221.png,90.0,16,G,6.9,False,False,0.0,0.0,1,1.0,12.0,0.0,42%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,,,,,
571473,Lille,79,22222,Zeki Çelik,https://media.api-sports.io/football/players/22222.png,90.0,2,D,6.4,False,False,0.0,0.0,0,,42.0,1.0,80%,0.0,2.0,13.0,6.0,1.0,0.0,3.0,3.0,0,0,0,0,,2.0,3.0,,,,,
571473,Lille,79,2675,José Fonte,https://media.api-sports.io/football/players/2675.png,90.0,6,D,7.1,True,False,0.0,0.0,0,,69.0,0.0,93%,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0,0,0,0,,2.0,,,,,,
571473,Lille,79,38734,Sven Botman,https://media.api-sports.io/football/players/38734.png,90.0,5,D,6.9,False,False,0.0,0.0,0,,63.0,0.0,90%,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,,,1.0,,,,,
571473,Lille,79,22225,Reinildo Isnard Mandava,https://media.api-sports.io/football/players/22225.png,43.0,28,D,5.7,False,False,0.0,0.0,0,,20.0,0.0,69%,0.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,0,1,0,0,,,,,,,,
571473,Lille,79,2204,Benjamin André,https://media.api-sports.io/football/players/2204.png,89.0,21,M,7.4,False,False,0.0,0.0,0,,45.0,2.0,88%,1.0,2.0,17.0,12.0,0.0,0.0,2.0,1.0,0,0,0,0,,3.0,1.0,,,,,
571473,Lille,79,22228,Xeka,https://media.api-sports.io/football/players/22228.png,45.0,8,M,7.4,False,False,0.0,0.0,0,,29.0,1.0,93%,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0,0,0,0,,2.0,,,,1.0,,
