fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,goals_conceded,goals_assists,goals_saves,passes_total,passes_accuracy,duels_total,duels_won,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_attempts,dribbles_success,dribbles_past,fouls_committed,tackles_interceptions,fouls_drawn,passes_key,tackles_blocks,offsides,shots_total,shots_on,goals_total,penalty_commited,penalty_won
1208708,Las Palmas,534,46860,Javier Muñoz,https://media.api-sports.io/football/players/46860.png,90.0,5,M,6.6,False,False,0,0.0,,45.0,36,12.0,6.0,0,0,0,0,,1.0,3.0,3.0,2.0,1.0,,2.0,,,,2.0,1.0,,,
1208708,Las Palmas,534,182519,Alberto Moleiro,https://media.api-sports.io/football/players/182519.png,90.0,10,M,6.9,False,False,0,0.0,,29.0,28,12.0,6.0,0,0,0,0,,1.0,5.0,3.0,2.0,,,1.0,,,,2.0,1.0,,,
1208708,Las Palmas,534,19337,Oliver McBurnie,https://media.api-sports.io/football/players/19337.png,90.0,16,F,7.2,False,False,0,0.0,,24.0,15,17.0,7.0,0,0,0,0,,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,,
1208708,Las Palmas,534,47111,Benito Ramírez,https://media.api-sports.io/football/players/47111.png,50.0,11,M,6.9,False,True,0,0.0,,26.0,25,6.0,2.0,0,0,0,0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,
1208708,Las Palmas,534,64256,Andy Pelmard,https://media.api-sports.io/football/players/64256.png,45.0,6,D,7,False,True,0,0.0,,29.0,27,4.0,3.0,0,0,0,0,,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,
1208708,Las Palmas,534,2671,Jaime Mata,https://media.api-sports.io/football/players/2671.png,19.0,17,F,6.9,False,True,0,0.0,,6.0,5,3.0,2.0,0,0,0,0,,1.0,,,,,,1.0,,,2.0,,,,,
1208708,Las Palmas,534,47464,José Campaña,https://media.api-sports.io/football/players/47464.png,18.0,8,M,6.7,False,True,0,0.0,,16.0,14,2.0,1.0,0,0,0,0,,,,,1.0,,,,,,,,,,,
1208708,Las Palmas,534,431890,Juanma Herzog,https://media.api-sports.io/football/players/431890.png,9.0,28,D,6.6,False,True,0,0.0,,5.0,4,1.0,1.0,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Las Palmas,534,505100,Israel Mora,https://media.api-sports.io/football/players/505100.png,,35,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Las Palmas,534,1304,Dinko Horkaš,https://media.api-sports.io/football/players/1304.png,,13,G,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Las Palmas,534,47052,Álex Muñoz,https://media.api-sports.io/football/players/47052.png,,23,D,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Las Palmas,534,453885,Aboubacar Bassinga,https://media.api-sports.io/football/players/453885.png,,26,M,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208708,Las Palmas,534,406123,Sergio Ruiz,https://media.api-sports.io/football/players/406123.png,,41,F,,False,True,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,
1208703,Real Betis,543,18812,Adrián,https://media.api-sports.io/football/players/18812.png,90.0,13,G,6.9,False,False,0,0.0,,16.0,14,1.0,,0,0,0,0,0.0,,,,,,,,,,,,,,,
1208703,Real Betis,543,334574,Angel Ortiz,https://media.api-sports.io/football/players/334574.png,75.0,40,D,7.5,False,False,0,0.0,,44.0,37,5.0,3.0,0,0,0,0,,,1.0,1.0,,,1.0,1.0,,,,,,,,
1208703,Real Betis,543,1561,Marc Bartra,https://media.api-sports.io/football/players/1561.png,90.0,5,D,7.2,False,False,0,0.0,,60.0,53,6.0,3.0,0,0,0,0,,,,,1.0,1.0,,,,1.0,,,,,,
1208703,Real Betis,543,47302,Diego Llorente,https://media.api-sports.io/football/players/47302.png,90.0,3,D,7.5,False,False,0,0.0,,66.0,60,4.0,4.0,0,0,0,0,,1.0,,,,,,,1.0,,,,,,,
