fixture_id,team_name,team_id,player_id,player_name,player_photo,games_minutes,games_number,games_position,games_rating,games_captain,games_substitute,shots_total,shots_on,goals_conceded,goals_saves,passes_total,passes_key,passes_accuracy,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_red,penalty_scored,penalty_missed,penalty_saved,tackles_total,dribbles_past,goals_assists,goals_total,penalty_won,penalty_commited,offsides
157556,Metz,112,20531,Digbo Maiga,https://media.api-sports.io/football/players/20531.png,90,19,M,6.2,False,False,1,1,0.0,,30,0,73%,0.0,0,5,2,1,2,1,0,0,0,,3.0,3.0,,,,,
157556,Metz,112,3341,Mamadou Fofana,https://media.api-sports.io/football/players/3341.png,90,6,M,6.9,False,False,1,0,0.0,,31,0,79%,0.0,0,0,0,0,3,1,0,0,0,,5.0,1.0,,,,,
157556,Metz,112,20527,Renaud Cohade,https://media.api-sports.io/football/players/20527.png,90,24,M,6.4,True,False,0,0,0.0,,46,1,82%,1.0,0,1,0,0,3,1,0,0,0,,5.0,1.0,,,,,
157556,Metz,112,3343,Adama Traoré,https://media.api-sports.io/football/players/3343.png,83,25,F,7.5,False,False,4,1,0.0,,27,2,84%,0.0,2,6,5,3,1,0,0,0,0,,,,,,,,
157556,Metz,112,20535,Habib Diallo,https://media.api-sports.io/football/players/20535.png,90,20,F,7.4,False,False,2,1,0.0,,14,2,77%,0.0,0,2,1,1,2,0,0,0,0,,,,,1.0,,,
157556,Metz,112,90581,Opa Nguette,https://media.api-sports.io/football/players/90581.png,71,11,F,6.5,False,False,1,0,0.0,,17,0,73%,0.0,1,1,1,1,5,1,0,0,0,,3.0,1.0,,,,,
157556,Metz,112,20526,Farid Boulaya,https://media.api-sports.io/football/players/20526.png,16,27,M,6.4,False,False,0,0,0.0,,1,0,50%,0.0,0,0,0,0,1,1,0,0,0,,,,,,,,
157556,Metz,112,20673,Thierry Ambrose,https://media.api-sports.io/football/players/20673.png,19,9,F,6.7,False,False,1,1,0.0,,5,0,71%,0.0,0,3,2,0,0,0,0,0,0,,,1.0,,,,,
157554,Reims,93,2814,Predrag Rajković,https://media.api-sports.io/football/players/2814.png,90,1,G,6.3,False,False,0,0,1.0,0.0,23,0,76%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157554,Reims,93,22000,Thomas Foket,https://media.api-sports.io/football/players/22000.png,90,32,D,6.8,False,False,0,0,0.0,,42,4,82%,0.0,0,2,2,1,0,0,0,0,0,,,,,,,,
157554,Reims,93,21998,Axel Disasi,https://media.api-sports.io/football/players/21998.png,90,6,D,6.4,False,False,0,0,0.0,,41,0,87%,0.0,0,0,0,3,0,0,0,0,0,,,1.0,,,,,
157554,Reims,93,2704,Yunis Abdelhamid,https://media.api-sports.io/football/players/2704.png,90,5,D,7.2,False,False,1,0,0.0,,45,0,83%,0.0,2,3,3,1,2,0,0,0,0,,2.0,,,,,,
157554,Reims,93,22007,Hassane Kamara,https://media.api-sports.io/football/players/22007.png,90,13,D,7.9,False,False,3,1,0.0,,36,0,87%,0.0,4,3,3,1,1,0,0,0,0,,5.0,1.0,,,,,
157554,Reims,93,22005,Xavier Chavalerin,https://media.api-sports.io/football/players/22005.png,90,7,M,9.0,False,False,2,0,0.0,,39,4,76%,0.0,4,5,5,0,3,0,0,0,0,,11.0,,,,,,
157554,Reims,93,22012,Jacques-Alaixys Romao,https://media.api-sports.io/football/players/22012.png,72,4,M,5.7,True,False,2,1,0.0,,21,0,70%,0.0,0,1,1,2,2,2,1,0,0,,2.0,,,,,,
157554,Reims,93,26313,Anastasios Donis,https://media.api-sports.io/football/players/26313.png,71,9,M,6.6,False,False,2,1,0.0,,6,1,75%,0.0,0,1,0,1,2,0,0,0,0,,,,,,,,
157554,Reims,93,129670,Nathanael Mbuku,https://media.api-sports.io/football/players/129670.png,62,33,M,6.5,False,False,2,1,0.0,,12,0,70%,0.0,0,2,0,2,0,0,0,0,0,,,,,,,,
157554,Reims,93,3340,Moussa Doumbia,https://media.api-sports.io/football/players/3340.png,82,25,M,6.7,False,False,2,0,0.0,,27,3,79%,0.0,0,5,1,1,1,0,0,0,0,,,,,,,,
157554,Reims,93,22015,Boulaye Dia,https://media.api-sports.io/football/players/22015.png,90,11,F,7.3,False,False,4,2,0.0,,12,0,75%,0.0,0,0,0,0,2,0,0,0,0,,,,,1.0,,,
157554,Reims,93,22006,Tristan Dingome,https://media.api-sports.io/football/players/22006.png,28,20,M,6.4,False,True,0,0,0.0,,13,0,86%,0.0,0,1,1,0,1,0,0,0,0,,,1.0,,,,,
157554,Reims,93,22016,Remi Oudin,https://media.api-sports.io/football/players/22016.png,19,18,M,6.6,False,True,1,0,0.0,,4,0,57%,0.0,0,0,0,0,0,0,0,0,0,,1.0,,,,,,
157554,Reims,93,22018,Hyun-Jun Suk,https://media.api-sports.io/football/players/22018.png,8,10,F,7.3,False,True,0,0,0.0,,0,1,0%,0.0,0,0,0,0,0,0,0,0,0,,,,1.0,,,,
157554,Bordeaux,78,1253,Benoît Costil,https://media.api-sports.io/football/players/1253.png,90,1,G,7.7,True,False,0,0,1.0,6.0,22,0,66%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157554,Bordeaux,78,2201,Edson Mexer,https://media.api-sports.io/football/players/2201.png,80,4,D,6.5,False,False,0,0,0.0,,34,0,69%,0.0,1,0,0,1,1,1,0,0,0,,1.0,1.0,,,,,
157554,Bordeaux,78,1443,Laurent Koscielny,https://media.api-sports.io/football/players/1443.png,90,6,D,6.8,False,False,0,0,0.0,,34,0,79%,0.0,1,0,0,1,0,0,0,0,0,,1.0,,,,,,
157554,Bordeaux,78,1260,Pablo Nascimento Castro,https://media.api-sports.io/football/players/1260.png,90,3,D,7.1,False,False,1,0,0.0,,30,0,90%,0.0,4,0,0,1,0,0,0,0,0,,,,,,,,
157554,Bordeaux,78,1276,Samuel Kalu,https://media.api-sports.io/football/players/1276.png,62,10,M,7.1,False,False,2,0,0.0,,20,2,74%,1.0,2,2,1,0,1,0,0,0,0,,3.0,2.0,,,,,
157554,Bordeaux,78,1271,Aurelien Tchouameni,https://media.api-sports.io/football/players/1271.png,90,8,M,6.7,False,False,0,0,0.0,,40,1,90%,0.0,0,0,0,2,0,0,0,0,0,,3.0,1.0,1.0,,,,
157554,Bordeaux,78,1262,Otávio,https://media.api-sports.io/football/players/1262.png,90,5,M,7.0,False,False,0,0,0.0,,48,0,81%,1.0,2,0,0,0,1,0,0,0,0,,1.0,1.0,,,,,
157554,Bordeaux,78,941,Loris Benito,https://media.api-sports.io/football/players/941.png,90,23,M,6.6,False,False,1,0,0.0,,28,0,84%,0.0,0,0,0,1,1,0,0,0,0,,,1.0,,,,,
157554,Bordeaux,78,1275,Nicolas de Préville,https://media.api-sports.io/football/players/1275.png,90,12,F,6.5,False,False,0,0,0.0,,35,2,81%,1.0,0,5,1,2,2,0,0,0,0,,4.0,5.0,,,,,
157554,Bordeaux,78,1265,Yacine Adli,https://media.api-sports.io/football/players/1265.png,85,19,F,6.7,False,False,0,0,0.0,,23,0,79%,0.0,1,2,1,2,2,0,0,0,0,,3.0,3.0,,,,,
157554,Bordeaux,78,1279,Josh Maja,https://media.api-sports.io/football/players/1279.png,90,9,F,6.9,False,False,1,1,0.0,,26,1,92%,0.0,0,0,0,1,5,0,0,0,0,,,1.0,,1.0,,,
157554,Bordeaux,78,1256,Vukašin Jovanović,https://media.api-sports.io/football/players/1256.png,10,14,D,6.4,False,False,0,0,0.0,,4,0,44%,0.0,0,0,0,1,0,0,0,0,0,,1.0,,,,,,
157554,Bordeaux,78,1264,Youssouf Sabaly,https://media.api-sports.io/football/players/1264.png,28,20,D,6.4,False,False,0,0,0.0,,16,0,94%,0.0,1,0,0,2,1,0,0,0,0,,1.0,1.0,,,,,
157554,Bordeaux,78,2709,Youssef Aït Bennasser,https://media.api-sports.io/football/players/2709.png,11,17,M,6.4,False,False,0,0,0.0,,7,0,87%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
157557,Nantes,83,30393,Alban Lafont,https://media.api-sports.io/football/players/30393.png,90,1,G,6.6,False,False,0,0,1.0,2.0,17,0,89%,0.0,0,0,0,0,0,0,0,0,0,0.0,,,,,,,
157557,Nantes,83,1407,Dennis Appiah,https://media.api-sports.io/football/players/1407.png,90,12,D,6.7,False,False,0,0,0.0,,47,0,77%,0.0,1,4,3,0,2,0,0,0,0,,5.0,1.0,,,,,
157557,Nantes,83,21097,Andrei Girotto,https://media.api-sports.io/football/players/21097.png,90,20,D,7.3,False,False,2,1,0.0,,68,1,90%,1.0,2,1,0,0,1,0,0,0,0,,2.0,,,,,,
157557,Nantes,83,21088,Nicolas Pallois,https://media.api-sports.io/football/players/21088.png,90,4,D,6.8,False,False,0,0,0.0,,68,0,86%,1.0,4,2,1,5,1,0,0,0,0,,,3.0,,,,,
157557,Nantes,83,21091,Charles Traoré,https://media.api-sports.io/football/players/21091.png,90,14,D,7.1,False,False,0,0,0.0,,58,1,85%,0.0,2,1,1,1,1,0,0,0,0,,3.0,1.0,,,,,
157557,Nantes,83,21100,Imrân Louza,https://media.api-sports.io/football/players/21100.png,90,26,M,7.6,False,False,2,1,0.0,,57,9,93%,0.0,0,3,1,1,1,0,0,0,0,,,1.0,,,,,
157557,Nantes,83,21103,Abdoulaye Touré,https://media.api-sports.io/football/players/21103.png,88,19,M,7.6,True,False,3,1,0.0,,67,0,94%,0.0,1,1,1,1,2,0,0,1,0,,,,,1.0,,,
157557,Nantes,83,84055,Kader Bamba,https://media.api-sports.io/football/players/84055.png,63,32,M,7.5,False,False,2,1,0.0,,27,1,84%,0.0,0,8,6,2,1,1,0,0,0,,3.0,2.0,,,,,
157557,Nantes,83,21497,Ludovic Blas,https://media.api-sports.io/football/players/21497.png,75,17,M,6.9,False,False,3,2,0.0,,31,2,91%,0.0,0,6,1,1,2,0,0,0,0,,1.0,1.0,,1.0,,,
157557,Nantes,83,2781,Moses Simon,https://media.api-sports.io/football/players/2781.png,90,27,M,7.5,False,False,2,0,0.0,,26,3,89%,0.0,2,5,3,2,0,0,0,0,0,,,,1.0,,,,
157557,Nantes,83,3344,Kalifa Coulibaly,https://media.api-sports.io/football/players/3344.png,90,7,F,6.4,False,False,5,2,0.0,,7,0,77%,0.0,0,1,0,0,2,0,0,0,0,,,,,,,,
157557,Nantes,83,21101,Samuel Moutoussamy,https://media.api-sports.io/football/players/21101.png,15,18,M,6.6,False,True,1,0,0.0,,8,0,80%,0.0,0,3,2,0,0,0,0,0,0,,,,,,,,
157557,Nantes,83,21099,Rene Krhin,https://media.api-sports.io/football/players/21099.png,11,21,M,6.3,False,True,0,0,0.0,,1,0,50%,0.0,0,0,0,0,0,0,0,0,0,,,,,,,,
